# SNRtot_MF, evidence220_221, evidence220, nofilter]
1.928432317761275172e+01 -4.127155710457027453e+02 -4.127949589058533206e+02 -5.934784557420131250e+02
2.768777159502592866e+01 -3.683211766321487062e+02 -3.686726338640099243e+02 -7.426809851962340190e+02
1.906050041001014250e+01 -3.596789137676633459e+02 -3.618112570998920319e+02 -5.402160737751519264e+02
2.935986158892525211e+01 -3.976632679020478918e+02 -3.995017487361916437e+02 -8.213200805807440474e+02
1.126168270859170839e+01 -3.661020289980884286e+02 -3.681679136837328201e+02 -4.268751853103239569e+02
3.394305528009256534e+01 -4.088870925320612173e+02 -4.096762793826239317e+02 -9.788142089747519776e+02
1.343799218748985425e+01 -3.680547140208896622e+02 -3.701429362043331821e+02 -4.595643291821716616e+02
1.831726704600471933e+01 -4.060325779258241141e+02 -4.071492792383884307e+02 -5.704198011365779166e+02
1.746273981845577339e+01 -4.022209179972184074e+02 -4.048385569580231049e+02 -5.534964948061440282e+02
2.087596045872820127e+01 -3.906885816434330536e+02 -3.924567885338396422e+02 -6.069869243416509335e+02
2.182613831606847654e+01 -3.719871012266648336e+02 -3.693134504120002362e+02 -6.008574486093529003e+02
1.893873427766252959e+01 -3.881733242576935368e+02 -3.902949900719070797e+02 -5.667118033688938112e+02
1.929901858724083041e+01 -3.793284138022759748e+02 -3.803446396463133965e+02 -5.628882105640016107e+02
6.181913879769166620e+00 -3.976540630192379808e+02 -3.970386212525803558e+02 -4.125972580975738992e+02
2.612266776276690550e+01 -4.098899529182597803e+02 -4.125393642455385361e+02 -7.499512003699715024e+02
5.321637229175689932e+00 -3.880158805521277827e+02 -3.878392121211219319e+02 -4.042040320027637677e+02
4.833246561812829079e+00 -3.672261778897600948e+02 -3.678684515204567447e+02 -3.769619820644945207e+02
1.753218247616318237e+01 -4.274764677654542879e+02 -4.289145849698119264e+02 -5.796221660698895448e+02
3.606772970755677932e+01 -3.647403864462064575e+02 -3.625235526300159563e+02 -1.005885810991209496e+03
2.166161002090727905e+01 -3.578483478370922626e+02 -3.594343124660132958e+02 -5.880618904176607202e+02
1.330063981943846230e+01 -3.652271416830944304e+02 -3.690885506015447390e+02 -4.553764380556360720e+02
2.371993192732775313e+01 -4.040362033898597360e+02 -4.054397767298929693e+02 -6.834629265579621915e+02
2.509246317914809765e+01 -3.868021956128362149e+02 -3.884604621138397533e+02 -6.988413026259116805e+02
