# SNRtot_MF, evidence220_221, evidence220, nofilter]
1.307668499957679131e+01 -3.844438427337010467e+02 -3.855443635953095054e+02 -4.657131845765633784e+02
5.848159858227891306e+01 -3.540142215023573726e+02 -3.554320071851875582e+02 -2.057810731365600077e+03
8.900403228387393284e+00 -4.098702843232769624e+02 -4.154246937800691057e+02 -4.486831148573116934e+02
2.092116998894174529e+01 -4.088124314292226700e+02 -4.085018388973206243e+02 -6.233213492220126000e+02
3.470064672071757172e+01 -4.052695534774140356e+02 -4.046372789456266901e+02 -1.002706239058850201e+03
7.706602078294301883e+00 -3.847543973150425813e+02 -3.844551166239158988e+02 -4.106747889275744683e+02
2.151192113829142993e+00 -4.122518992295617863e+02 -4.129993470696660438e+02 -4.145899956759255929e+02
3.654755823539453274e+01 -4.297666946530312089e+02 -4.318548893718771637e+02 -1.089242584626248345e+03
8.253834566038481313e+00 -3.610815008874042178e+02 -3.612001897091026876e+02 -3.923045951859389788e+02
3.703873816767774230e+01 -4.007910303410366168e+02 -3.990805647297170822e+02 -1.080336112626493559e+03
2.430842069004588879e+00 -3.679110924130726517e+02 -3.676608913970636081e+02 -3.691632965227453838e+02
1.687157847916474296e+01 -3.775340026374719287e+02 -3.778160572136832229e+02 -5.198243101683839313e+02
1.509359498818830048e+01 -4.107012993625060062e+02 -4.102258426577455452e+02 -5.184593375161321092e+02
8.521063043059861286e+00 -4.008110489623591093e+02 -4.033313983016390694e+02 -4.367625044756520651e+02
3.357703348407459654e+00 -3.704443363361174306e+02 -3.712465870365019782e+02 -3.746814148008264738e+02
8.810572671073945372e+00 -3.925501987541488802e+02 -3.932768744734042912e+02 -4.290086231112329642e+02
1.357065522643046052e+01 -4.173155193201846487e+02 -4.149462918560390676e+02 -5.007915227553738760e+02
1.412236572211264551e+01 -4.187896751223345291e+02 -4.202903635071982649e+02 -5.181083611010649292e+02
5.965828714556522527e+00 -3.976738020430270808e+02 -3.983734110580160745e+02 -4.145162040604391223e+02
7.360886341201179128e+00 -4.082037937907281844e+02 -4.092659680795153463e+02 -4.334927782996477958e+02
7.982195647918848280e+00 -4.048175342068440159e+02 -4.066615106178574592e+02 -4.367718060179961981e+02
2.464211995749380790e+01 -3.979367243425229503e+02 -3.973628461039373860e+02 -6.988681549063013563e+02
3.724184245987040232e+00 -3.985253867437272106e+02 -3.996933188226155380e+02 -4.068127517506712252e+02
1.000251655785447369e+01 -3.533547973774130924e+02 -3.519028788096869675e+02 -3.982078522666682261e+02
1.797128337495212591e+01 -4.092712642268716081e+02 -4.092169203183061086e+02 -5.693044342537973534e+02
5.376383230189515139e+00 -4.043012595914539702e+02 -4.052003192871186457e+02 -4.199127476510187194e+02
3.032096098069079204e+00 -4.031264854175776122e+02 -4.035295156526079836e+02 -4.072143998706147840e+02
2.509754988180349500e+01 -3.860708272579940399e+02 -3.861896031588398728e+02 -6.965691440647128729e+02
2.869464325219978207e+01 -4.178542835765366021e+02 -4.169152710332695051e+02 -8.230730866550586597e+02
2.290716193198556994e+01 -4.271986594495866143e+02 -4.288968038088737558e+02 -6.841055884206475639e+02
1.691652770389122651e+01 -3.833279514239150103e+02 -3.865794412986301154e+02 -5.252828152273165188e+02
1.795592300507097860e+01 -3.605223040892151403e+02 -3.624873581385882630e+02 -5.193959533539152744e+02
3.802948136864722528e+01 -3.686226408494726456e+02 -3.653651239147332603e+02 -1.079854405700993084e+03
1.209494331985049165e+01 -3.982784499514842196e+02 -3.985229593540795463e+02 -4.669824896796597500e+02
1.032079590289409943e+01 -3.700664565658441347e+02 -3.713603280337467254e+02 -4.191099433368907512e+02
4.747042932070560717e+00 -3.780563611644531079e+02 -3.795827296488326965e+02 -3.892283947025168800e+02
7.932274520462478939e+00 -3.705847643362978374e+02 -3.706382632325925783e+02 -3.976471719294081595e+02
