# SNRtot_MF, evidence_inj, evidence_filt, nofilter]
7.593287236258886708e+01 -2.279928689292087256e+02 -2.126635723502386952e+02 -3.020929360476472993e+03
6.176015480358161369e+01 -3.121505841280741151e+02 -3.092018839270027684e+02 -2.207862848324930383e+03
6.421371042330028445e+01 -2.970375349123250999e+02 -2.955795208103583036e+02 -2.345639158806316573e+03
8.001429980477129789e+01 -2.984721686474417766e+02 -2.934402927974097679e+02 -3.381371250551832418e+03
6.566197580413695789e+01 -2.289693860604205611e+02 -2.250239447850381111e+02 -2.352625995381929442e+03
6.765289709842866728e+01 -2.532456768324864242e+02 -2.493138046894949582e+02 -2.481326143087620039e+03
6.451511226181477809e+01 -2.747212730333722561e+02 -2.708497980354811148e+02 -2.342876849870856859e+03
5.911731194487104091e+01 -2.326322951810161044e+02 -2.320927397864660975e+02 -1.953283893830895977e+03
6.730607896420620762e+01 -2.202506742290367185e+02 -2.159918301780357126e+02 -2.446187229839216343e+03
5.987818919067233736e+01 -2.061003265945781493e+02 -2.043644004109426930e+02 -1.949651388301825364e+03
8.069354943967353222e+01 -3.139871128878741047e+02 -3.104984512428726475e+02 -3.560517394217501078e+03
8.212313039235122858e+01 -2.748320029829525879e+02 -2.625981620265645233e+02 -3.529377365741006543e+03
7.072038447608645129e+01 -2.652051813345171922e+02 -2.625622139843837886e+02 -2.753799514980160893e+03
8.422477448804788480e+01 -2.634662342786418776e+02 -2.524490528262636246e+02 -3.708968515066831969e+03
7.012714976372220121e+01 -2.121439149697324922e+02 -2.076601207172999466e+02 -2.638141114231975735e+03
6.254311188571811897e+01 -2.144808252461125164e+02 -2.117110330597249686e+02 -2.160279637499076671e+03
5.919465541166729139e+01 -2.163734367907444778e+02 -2.137768888801408593e+02 -1.938553270498242000e+03
8.597598175326251635e+01 -2.319858288234865995e+02 -2.274068989958666407e+02 -3.871374231788556244e+03
7.104636135404045660e+01 -2.213218668687358104e+02 -2.169000869280380073e+02 -2.698646943231088699e+03
7.410444153651044985e+01 -2.093072604357014086e+02 -2.066296525046626584e+02 -2.915558571841951107e+03
8.471078074754377951e+01 -3.125355827421556114e+02 -2.914509642119404589e+02 -3.741473036805766242e+03
4.915550034928831025e+01 -2.422450984456028777e+02 -2.394000023771810390e+02 -1.444070750978851720e+03
6.817800403960481503e+01 -2.480522777586035659e+02 -2.437105379417066331e+02 -2.541011621029142134e+03
7.561253584821415075e+01 -2.465726490527778765e+02 -2.450009926021477042e+02 -3.064327553019927109e+03
7.343450975592173791e+01 -2.181226164933935934e+02 -2.166419299104096581e+02 -2.865885900694463544e+03
6.147218253830599366e+01 -1.861660736471546045e+02 -1.840392204219009216e+02 -2.048834542854272058e+03
7.638851022693428661e+01 -2.554292390479025983e+02 -2.553985949601348580e+02 -3.136306229755316963e+03
7.378833470875576950e+01 -2.648036089702078471e+02 -2.612955106158636909e+02 -2.975655094905803253e+03
5.278555540243806377e+01 -2.445702664381419993e+02 -2.417276490523081804e+02 -1.626243932356538153e+03
6.261585833268895129e+01 -2.172620039439369464e+02 -2.129845991899135811e+02 -2.154192704422608585e+03
6.193845601718452087e+01 -2.364153844567684075e+02 -2.331786481846852439e+02 -2.134741419570932521e+03
5.674505193788600366e+01 -2.312073709376277293e+02 -2.280961895877312600e+02 -1.833613635383601377e+03
5.748202984016061379e+01 -2.751727491624300228e+02 -2.736386261342466355e+02 -1.918752123962020733e+03
8.795159414709345924e+01 -2.235866204720475992e+02 -2.178096558422495264e+02 -4.036310200958277164e+03
7.582955859789446151e+01 -2.363814102223632574e+02 -2.298743335203523657e+02 -3.054832988548879712e+03
6.281114706524725477e+01 -2.509573767426205961e+02 -2.478172002324303094e+02 -2.214280073249848556e+03
7.267724575664563247e+01 -2.357561335895054526e+02 -2.336757521593472404e+02 -2.842443337390146553e+03
