# SNRtot_MF, evidence220_221, evidence220, nofilter]
1.232966141866801202e+01 -3.648698023042257432e+02 -3.655629875734423422e+02 -4.403279731056343280e+02
3.681503777510887421e+00 -3.768188279684680424e+02 -3.778861432453121552e+02 -3.827830406355747073e+02
4.966308706676406892e+00 -4.057210573453807001e+02 -4.054451681269582082e+02 -4.130839230082690392e+02
3.196068962452750739e+01 -3.730505257924706939e+02 -3.696299591731996088e+02 -8.732708960430770730e+02
9.373717413260722608e+00 -4.090986800400195307e+02 -4.090346211914944661e+02 -4.492753123195487888e+02
2.103265677550758994e+01 -3.964997837516716572e+02 -3.980630406015123413e+02 -6.136915236426887077e+02
3.193206153478990927e+01 -3.762407068996720909e+02 -3.767519522519453972e+02 -8.815451356084500958e+02
5.722030239627714288e+00 -4.086301797596301526e+02 -4.103455117450557168e+02 -4.240304171126970232e+02
1.844622007818663079e+01 -3.841042505842540322e+02 -3.863326814068823296e+02 -5.491809068048256677e+02
9.624469065980271409e+00 -3.850398194294614314e+02 -3.844148790274296630e+02 -4.276595028829735838e+02
2.981522451206578239e+01 -3.974902712151700257e+02 -3.965468320121345869e+02 -8.352402021310962255e+02
2.129068076715661562e+01 -3.827832548168390190e+02 -3.838018288567654395e+02 -6.082582131784712374e+02
2.300159707454552560e+01 -3.629735380950422154e+02 -3.644940348259642633e+02 -6.248776966254350782e+02
2.896153417090747695e+01 -3.862316739329870643e+02 -3.875799470783113065e+02 -8.042371452486263479e+02
1.053526203914295856e+01 -3.593431386474245528e+02 -3.574754525212048861e+02 -4.112389893366254228e+02
5.960195025218047782e+00 -3.698494121520797648e+02 -3.718338092479607440e+02 -3.860351428867560344e+02
1.459590620172405373e+01 -4.082354362301870196e+02 -4.059613064320470244e+02 -5.073268512586439556e+02
1.201240156814057336e+01 -3.944469786194945868e+02 -3.948738201118637789e+02 -4.627822891037485533e+02
1.916426070507105450e+01 -4.076279490228272948e+02 -4.098958667774483615e+02 -5.871468178330112551e+02
1.500028282426146298e+01 -3.883947427386248137e+02 -3.890493823227980670e+02 -4.979099688557878949e+02
