# format=SNRtot_MF, evidence_inj-nofilter, occams, mass_in_solar, chi_inject]
1.788250236487139659e+02 1.598174824528743920e+04 2.039260529826567372e-03 5.794132257798071350e+01 1.645893324304032457e-01
1.746538540551683809e+02 1.524416894879093707e+04 2.179022933739914892e-03 6.899239513371946941e+01 3.963824133106672032e-01
2.263835176904890645e+01 2.514182977479532610e+02 4.123308557270821684e-02 9.729225957424915805e+01 7.719277642994033517e-01
1.328875417673487789e+02 8.819810543213285200e+03 1.264214471761641520e-03 6.793502415912526260e+01 2.955964534923498366e-02
1.054702162737713564e+02 5.553162351282315285e+03 6.892827647544628187e-04 3.526195348137292740e+01 8.103175376422079301e-01
5.891833370349561250e+01 1.728179252036532034e+03 9.021027888952417792e-04 6.709182344406184484e+01 7.422154603855324329e-01
2.224412478921716740e+02 2.472780793518224891e+04 1.270567308303157404e-05 6.905973765049539281e+01 9.098193257596403072e-01
7.711504396535070782e+01 2.972499451553378549e+03 1.820087669144272941e-03 3.931642106111468138e+01 5.256536365387690646e-01
5.493685920163500924e+01 1.503310704870094696e+03 1.956038371132710896e-02 9.202364986565646632e+01 3.203050538106161915e-01
6.965658260267092317e+01 2.422660372033746626e+03 5.063210723588082093e-03 8.344652934206266082e+01 2.217925672857601616e-01
6.730722909194400927e+01 2.259894450020260592e+03 1.067276538974652267e-03 6.820407544185906090e+01 6.096775278853582281e-01
1.709278269746670560e+02 1.459976155727189689e+04 1.378565529508925637e-03 1.192389761661211622e+02 1.541764698568293124e-01
1.241710596370436406e+02 7.702761682600539643e+03 2.061495457721872985e-03 5.807930371806415337e+01 6.111545252174680476e-01
5.178601674123238752e+01 1.337094667742719594e+03 1.511657455053681473e-02 1.124062786691106623e+02 5.720875613089745348e-01
1.652946213652578535e+02 1.365212140737665504e+04 1.108569976494504835e-03 8.303964946466987840e+01 8.442355270576243353e-02
1.622747971081988680e+02 1.315777383223010656e+04 7.432818753573470875e-04 9.361054187955451766e+01 1.950268978849763468e-01
1.186597249817616131e+02 7.031993963973476639e+03 1.419858967028778422e-03 1.064521972208828089e+02 3.884652689653368407e-01
7.029146077541972204e+01 2.465315420809913576e+03 1.461152404548630990e-03 9.210632167263617021e+01 7.028246993135101039e-01
