# format=SNRtot_MF, evidence_inj-nofilter, occams, mass_in_solar, chi_inject]
3.057419453246675403e+02 4.672766651566129440e+04 1.588209135378946645e-04 1.163356231377081684e+02 8.239905662978816991e-01
6.783213994706263072e+00 1.992947121578873748e+01 1.911886157169176148e-01 4.043570234764175098e+01 6.468225313512782071e-02
4.750268331524630128e+01 1.120365931743185456e+03 2.112318150053998922e-03 7.194656035182725873e+01 6.839820170846634406e-01
1.536855104510444114e+01 1.148911406217121112e+02 7.253986404929800569e-02 4.034549120079780238e+01 5.271087196973202049e-01
1.007259543679035403e+02 5.051091656287633668e+03 2.350549520360841122e-04 3.300092530647742706e+01 8.574125606276203904e-01
1.080631981349473421e+02 5.835833998476298802e+03 1.651102217139953018e-02 9.963753018098070413e+01 5.736114546932751246e-01
6.950059621358209938e+01 2.406785767922306604e+03 4.478749761768629914e-04 8.092891913819815386e+01 8.843265457577377253e-01
1.154369432606092971e+02 6.659052790647674556e+03 2.258433390508862021e-03 6.986110123936900607e+01 7.345852632007097149e-01
1.514403658354358129e+02 1.146032412986891541e+04 1.588209135378946700e-03 1.086028041734998624e+02 3.640341959479004852e-01
1.359433576814681714e+02 9.238276927495548080e+03 1.727336255638142401e-02 9.589500101718080316e+01 2.437815984292336091e-01
5.765972503876864153e+01 1.656797824569204977e+03 1.332189822755860432e-02 6.447622380931785813e+01 5.844287046782750128e-01
2.676878632065781716e+01 3.482050475987405207e+02 7.273997840035575967e-04 3.129193507540850661e+01 9.000078341304565965e-01
4.576978390531866125e+01 1.041814902052601610e+03 1.172415983736738512e-02 8.295340930310274530e+01 5.058734950938764685e-01
5.053201763884612063e+01 1.266066234440110520e+03 3.430531732418524602e-04 4.869146894743073517e+01 9.226169452455728059e-01
6.892538437123563710e+01 2.369872091322590677e+03 5.612731084429197284e-03 3.907182110242165862e+01 1.575027590933409938e-01
2.586094062962137627e+02 3.342909387825424346e+04 1.111746394765262733e-04 6.025623480095435269e+01 8.835685144150700054e-01
1.819989006847631288e+02 1.655178568166248442e+04 1.496093005526967761e-03 7.126657020078340565e+01 4.780937158473602157e-03
4.200665658608697584e+01 8.811537240708914851e+02 9.221142240010164401e-03 5.836487258286238955e+01 8.467000241048253106e-02
1.407206289416591289e+02 9.892420375794565189e+03 3.208182453465472273e-04 8.098271825175696392e+01 7.690871989103152950e-01
1.788250236487139659e+02 1.598174824528743920e+04 2.039260529826567372e-03 5.794132257798071350e+01 1.645893324304032457e-01
1.746538540551683809e+02 1.524416894879093707e+04 2.179022933739914892e-03 6.899239513371946941e+01 3.963824133106672032e-01
2.263835176904890645e+01 2.514182977479532610e+02 4.123308557270821684e-02 9.729225957424915805e+01 7.719277642994033517e-01
1.328875417673487789e+02 8.819810543213285200e+03 1.264214471761641520e-03 6.793502415912526260e+01 2.955964534923498366e-02
1.054702162737713564e+02 5.553162351282315285e+03 6.892827647544628187e-04 3.526195348137292740e+01 8.103175376422079301e-01
7.711504396535070782e+01 2.972499451553378549e+03 1.820087669144272941e-03 3.931642106111468138e+01 5.256536365387690646e-01
5.493685920163500924e+01 1.503310704870094696e+03 1.956038371132710896e-02 9.202364986565646632e+01 3.203050538106161915e-01
6.965658260267092317e+01 2.422660372033746626e+03 5.063210723588082093e-03 8.344652934206266082e+01 2.217925672857601616e-01
1.241710596370436406e+02 7.702761682600539643e+03 2.061495457721872985e-03 5.807930371806415337e+01 6.111545252174680476e-01
5.178601674123238752e+01 1.337094667742719594e+03 1.511657455053681473e-02 1.124062786691106623e+02 5.720875613089745348e-01
1.652946213652578535e+02 1.365212140737665504e+04 1.108569976494504835e-03 8.303964946466987840e+01 8.442355270576243353e-02
2.521897476308721053e+01 3.134353287621929098e+02 4.796709230671494795e-02 1.191544697685307028e+02 8.160539505892885348e-01
5.205187145098172152e+01 1.350790395311019893e+03 8.029985388475954430e-03 5.547546471457154382e+01 5.885163578932736117e-01
3.368932948421456786e+01 5.616440712914412643e+02 2.836223873959722863e-02 1.011707141338191605e+02 2.789133851115498941e-01
1.632154718708879102e+02 1.331158985518134068e+04 1.013277428371767890e-03 7.224017722413559284e+01 7.408034182182461347e-01
1.754332663833053516e+02 1.538298037581414974e+04 4.532748872371514075e-03 1.132779621813876787e+02 5.226556055986024685e-01
1.535735829925654627e+02 1.178552818711057807e+04 3.440060987230798405e-03 3.903872100608184326e+01 1.021959173105981000e-01
6.794870081439549381e+01 2.304877174417472816e+03 6.327425195349723613e-03 1.088012892208083144e+02 1.120890214866293588e-01
1.189650521981017590e+02 7.069491889050228565e+03 6.438599834826249507e-03 4.524561970481917683e+01 6.421426451473069563e-02
9.456737089601280388e+01 4.464642383907320436e+03 2.410901467505241133e-03 9.272112512434600262e+01 4.489489061766112621e-01
1.049560019636988670e+02 5.503727255725390933e+03 6.228956228956228879e-03 7.519602841474301158e+01 1.981690976296754392e-01
1.556989196806332245e+02 1.211318050943710477e+04 6.670478368591576399e-04 5.325081011870393866e+01 5.579839096359677786e-01
5.050329673677654796e+01 1.270671413879259035e+03 2.164093767867352608e-02 1.178714502912492321e+02 2.371019301170686766e-01
6.492270147890411636e+01 2.100804386899761539e+03 4.774156660949113902e-03 1.122354303589900439e+02 6.714008675611454757e-01
1.070390770428224272e+02 5.721272562550619114e+03 4.421574232894987314e-03 1.013006441449520878e+02 3.159239994717499833e-01
2.222591772758461843e+02 2.469353281470385991e+04 2.633250746458293788e-03 1.158166139132085704e+02 6.399288651235159053e-02
