# format=SNRtot_MF, evidence_inj-nofilter, occams, mass_in_solar, chi_inject]
2.000927278040135704e+01 1.955211610680461263e+02 6.136204815450098382e-02 1.010392518482883020e+02 1.471519102105789401e-02
1.433211069836771756e+01 9.877986067289805305e+01 7.512229210342417571e-03 5.090992414555510948e+01 7.227824231695531010e-01
1.210796423234121200e+01 6.620805069939001442e+01 3.650339876754971069e-02 5.662346443921877892e+01 1.524861309175335744e-01
8.070095863620744936e+00 2.647797758150949221e+01 5.442475065116574723e-02 6.312310903880637625e+01 5.310888147805170600e-01
1.688793332025578309e+01 1.385666113740505239e+02 7.817165364335175795e-03 1.085754621799121082e+02 7.672664208160668853e-01
2.209205085762129173e+01 2.418295547666118068e+02 4.688393367638650500e-02 1.015925583333562798e+02 4.108556248237247854e-01
2.147649100914939169e+01 2.345461598853970031e+02 3.692268597928975021e-02 1.045251153242250979e+02 3.557142388954178669e-01
1.619130770440624545e+01 1.200470387794192106e+02 7.664697287338796683e-03 8.257603729081419885e+01 6.929632420312290542e-01
1.038774129226847087e+01 4.904199500034206949e+01 1.703195476780382592e-02 3.113021988623954428e+01 5.666796483032392473e-01
1.037077957032475162e+01 4.850577006770845401e+01 1.901086335048599030e-02 4.082887251592900668e+01 3.677839221034155393e-01
1.043118380666476419e+01 5.297446111657069423e+01 2.053872053872054029e-02 3.039598196022198451e+01 8.435985850161701327e-01
1.710739532942959329e+01 1.420352677685632443e+02 2.523346674290070576e-02 9.718812959909348592e+01 6.283874678643350808e-01
1.397234659499721410e+01 9.531446862178410129e+01 7.046248650022235438e-02 9.817147231596968027e+01 2.972499476995723033e-01
2.076728606150376066e+01 2.122865211206864160e+02 3.777714249412362363e-02 1.077250968541823539e+02 4.670206234663474287e-01
1.156650477357127471e+01 6.517930845522613481e+01 2.328314592465535737e-02 5.227271579286119874e+01 5.916363289270976100e-01
7.220863303049763537e+00 2.350968427781236869e+01 3.974969824026428067e-02 3.367977264762177469e+01 2.995068338423097498e-01
5.432332161988481012e+00 1.156149654357591317e+01 7.187281621243885033e-02 4.981210409846808318e+01 2.184894777292649415e-01
1.884180981156226764e+01 1.726158896203610880e+02 4.082968045232196475e-02 1.072043585917550672e+02 3.356633877971582081e-01
1.742769587157414790e+01 1.473124892637271159e+02 2.366431611714630429e-02 4.351747222799206583e+01 6.958202022383793706e-01
1.097813508962206974e+01 5.510963430924493878e+01 4.448256146369353875e-02 7.654738927466416953e+01 4.385621775229633368e-01
2.205756470817311055e+01 2.390343426642942291e+02 2.591004383457213775e-02 1.082291531394626389e+02 2.037332887325006558e-01
1.356904434481036859e+01 8.467735740161180047e+01 5.082269233212629266e-03 6.439872728588844097e+01 8.341997479415311778e-01
2.314616039292096161e+01 2.634725680105246965e+02 1.486881392541769889e-02 1.149366165747744475e+02 3.103164253363730474e-01
2.399400739188538623e+01 2.792171195568962503e+02 1.698748491201321556e-02 6.784290172723598289e+01 5.097902194938715992e-01
1.057320579350333567e+01 5.386253610056360230e+01 7.881011371577409386e-02 7.553209462314025302e+01 1.347690390756890177e-01
1.066715109219696522e+01 5.269217305733576495e+01 4.922177752366431458e-02 5.165335966980635618e+01 1.811162721293316513e-01
6.039657426184643185e+00 1.372735575612045977e+01 9.332316879486690642e-02 9.067623178516760163e+01 9.568373968460763823e-02
1.088506970514434080e+01 5.597403476331896854e+01 4.490820151197509602e-02 4.771300702024350926e+01 4.160153132318752944e-01
2.515267192275367947e+01 3.090220163505057371e+02 1.658090337335620459e-03 9.843246957038617495e+01 9.196659288432668111e-01
2.533345693467144244e+01 3.143640518904417718e+02 1.944603265357982419e-02 7.688242638091952585e+01 6.727798637728361619e-01
1.397684687995398356e+01 8.911477597820316987e+01 5.121021536115875905e-02 1.065358242382444161e+02 8.302968992181283814e-02
1.745622350846871740e+01 1.503021437470697492e+02 2.348643669398386286e-02 5.332696477327057494e+01 1.027981125482411856e-01
7.342085716470100998e+00 2.308295579290279420e+01 3.674480655612730878e-02 6.493317357962072833e+01 3.288145123165573946e-01
1.257331613883437171e+01 7.392742945077793593e+01 4.346928403532177021e-02 1.161707114144846997e+02 5.226522488734904881e-01
2.309651360993816382e+01 2.626249177609078629e+02 3.333015691506257400e-02 7.993622265607552890e+01 2.838828053344067404e-01
1.915993568358819132e+01 1.738753488351353553e+02 2.280668318404167633e-03 9.779511287689784638e+01 9.119815031390395843e-01
1.397788853424062161e+01 8.997874664490450414e+01 1.982085000952925422e-03 4.581073623975220244e+01 9.231737256144090242e-01
2.216900181645265633e+01 2.430216443991336064e+02 3.162124388539482717e-02 9.282669818205090451e+01 6.242748646228326592e-01
7.295905222952674407e+00 2.137449326108890091e+01 3.322215869385680698e-02 4.498876002828910003e+01 2.334624854200439414e-01
1.544640096423372277e+01 1.138827074886007154e+02 3.701797852741248868e-02 5.022029244604059528e+01 5.261695821947768303e-01
1.734649577443159885e+01 1.430281621784118329e+02 5.362111682866400192e-02 1.093267270895675409e+02 5.062795562524431414e-01
1.288398972181544089e+01 8.243515317751860039e+01 3.121783876500857507e-02 7.411481993630778220e+01 8.119420399357382689e-02
1.019616585719428059e+01 5.101551686133558405e+01 1.306238485483768585e-01 9.768938423587131581e+01 1.197597399452803163e-01
3.888030214438342824e+01 7.537172953299739220e+02 2.944539736992567158e-03 1.055325423433963579e+02 6.701509490234965893e-01
1.621056772793377476e+01 1.286620900601935773e+02 2.554793215170573714e-02 1.012788204455674048e+02 5.234792535748906683e-01
1.426798047354631827e+01 9.682802688703407057e+01 1.518327933422272940e-03 6.027405577394068814e+01 9.263266671190902857e-01
1.489951799215837802e+01 1.055820038858171870e+02 2.874658535035893615e-03 6.904018774883158471e+01 8.556884872979481083e-01
