# format=SNRtot_MF, evidence_inj-nofilter, occams, mass_in_solar, chi_inject]
1.244989529371031267e+02 7.484522067191921451e+03 6.988120195667365132e-04 9.086430218127637204e+01 1.254328758215824957e-01
1.711970766768630199e+02 1.457216014224728133e+04 4.605806492598945299e-04 8.613273182117310967e+01 5.516319041810986423e-01
4.280393129813402453e+01 8.969987051728236338e+02 6.448129089638523527e-04 9.145105444875576950e+01 8.115819680502494027e-01
1.552880011182020894e+02 1.186584940826641287e+04 6.035194714439997714e-05 6.363027785160481642e+01 1.423936002810261003e-02
1.760288540403897741e+02 1.536396325767352573e+04 9.306905533320627543e-04 1.115225072027773621e+02 3.824729330091577451e-01
2.838870217548416122e+02 4.020500513314014825e+04 1.175274760180420561e-04 9.646911664105854811e+01 6.496900503317619702e-01
8.694247193644528693e+01 3.754471375024872486e+03 2.255256972238104448e-04 3.544105709441137009e+01 1.924465168868969844e-01
1.745198980540934599e+02 1.518346373452617263e+04 1.778794231624420265e-04 4.560968286073190114e+01 3.693008832619447679e-01
1.315722433977900323e+02 8.470606414224217588e+03 1.461152404548630990e-04 6.697741618124740626e+01 3.907580169344191529e-02
1.331876979653846149e+01 8.375324213802929307e+01 5.598437202210786862e-02 1.111576296931767445e+02 3.377230810281144913e-01
1.263040755410032148e+02 7.859171522962352356e+03 1.969379327869893884e-04 6.797264450700139093e+01 3.802295443469667080e-01
2.193133092823222512e+02 2.395290078152271963e+04 2.350549520360841122e-04 1.182837269223117715e+02 7.683980682710181975e-01
1.525361341050387978e+02 1.150065939079767122e+04 6.988120195667365132e-05 1.004176803824744297e+02 8.162672904858692124e-01
3.544461854444321602e+01 6.186289583569155184e+02 7.435995171844228015e-03 4.229215069479604949e+01 3.785136371684171275e-01
7.448676633281155546e+01 2.734851381361111635e+03 4.828155771551998171e-04 7.584143726999303681e+01 5.652020886209500050e-01
8.745494305433246041e+01 3.679563892982330799e+03 2.287021154945683159e-04 3.748518618664279956e+01 5.258612738320230795e-01
2.036128349274082439e+01 2.015189794042693165e+02 2.847976621561527227e-02 1.119549513751799168e+02 3.218010432673608090e-01
9.060318503393254730e+01 4.072995658610659575e+03 6.670478368591576670e-05 4.136609932555570879e+01 9.131296426829641488e-01
1.687894477465237131e+01 1.359606512819563022e+02 1.327425195349723683e-02 4.736470740655128964e+01 4.338468157258714153e-01
1.572407161892031411e+02 1.223539689859264945e+04 3.494060097833682566e-05 3.344692137985744296e+01 2.728175032220813562e-02
9.064047032558742956e+01 4.016949949557034870e+03 3.176418270757893426e-05 3.448449756796696875e+01 8.844105401639918984e-01
8.939883352179856502e+01 3.964850348567094443e+03 2.604662982021472705e-04 3.258885178666218252e+01 6.522933861573283476e-01
3.781919554470669596e+02 7.128786815767701773e+04 5.717552887364207897e-05 1.160516646668010310e+02 8.293666019917147469e-01
1.542975164132782062e+01 1.111002478630637711e+02 3.414649641064735220e-03 5.620789464628926169e+01 9.425184809336657477e-01
1.241980116408468007e+02 7.675315016452500458e+03 4.891684136967155592e-04 4.971686265277254080e+01 6.039436554948323099e-01
1.580919203301504012e+02 1.243135873582188287e+04 7.210469474620418004e-04 9.738846774095675585e+01 2.050758222557742816e-01
1.518122834980523805e+02 1.148391612463246747e+04 6.066958897147576831e-04 5.963673383237586734e+01 1.017335456926076742e-01
3.653332398109399293e+01 6.646395729132480028e+02 9.637253033479448519e-03 8.727748687700974983e+01 1.341009786748897925e-01
