# format=SNRtot_MF, ln(BF)
4.298362597424876697e+00 8.190878924435537556e+00
2.735139263231561646e+00 1.409832005753742123e+00
4.905266198828448054e+00 9.599829936159778754e+00
5.078390828578651650e+00 1.178644571747651071e+01
4.883309886988262960e+00 1.124893186304626624e+01
4.028868054080629868e+00 9.458795116235535261e+00
5.004282565475087985e+00 1.082323701941078298e+01
3.365445262237174884e+00 3.030857643487479436e+00
4.398313546551392506e+00 7.143581126604203746e+00
5.747689517472291065e+00 1.179340819425362952e+01
3.463494902303354550e+00 5.182371534970002358e+00
3.409930400705530662e+00 3.398248767501115708e+00
3.842984138048560094e+00 5.074567622325787397e+00
2.104859184599621624e+00 2.206762465978556520e+00
4.586433403097687211e+00 8.401573639919377001e+00
3.890837334402071690e+00 4.803367589250797209e+00
5.500322190194507854e+00 1.184006568457158437e+01
3.465968702238344967e+00 5.143756253210369778e+00
2.839805589746875469e+00 2.252137820008158542e+00
3.941351436082349391e+00 7.740470594316093411e+00
3.819384506274337454e+00 1.685419338407200485e+00
2.890273105127536102e+00 2.099764314083188310e+00
3.752179236685107000e+00 4.035443625502523446e+00
3.442668085750069551e+00 6.225439052914907734e+00
4.691986693538742870e+00 8.157939969539938829e+00
4.079491836351488487e+00 6.004333483642312785e+00
3.379490861618850595e+00 3.596579033810314741e+00
4.269143350366308098e+00 6.912854054756735422e+00
2.531755629087487858e+00 1.307165858712551199e+00
4.182371851735258161e+00 5.320238066097545016e+00
4.293995738467537571e+00 6.162729767199493836e+00
6.501860604689126966e+00 1.789658365102405924e+01
5.398079407364374305e+00 1.128829738743974076e+01
3.825928498209999695e+00 3.588503698714532675e+00
4.236349628901169950e+00 5.107745471529881343e+00
6.799213638301612406e+00 1.995250514070278314e+01
3.192257215912847279e+00 3.436748061190314729e+00
3.418975439855684861e+00 3.988891801687373118e+00
3.456044694871047263e+00 3.893121249850935328e+00
6.118297135878834503e+00 1.696379984341780300e+01
4.582123833619015763e+00 8.764164741947979564e+00
3.555269927182914014e+00 4.211719957803836678e+00
4.428076110362018092e+00 7.257958352501475474e+00
1.305739341557073496e+00 4.635788258791535554e-01
4.943047559308444860e+00 8.673786304450800344e+00
4.545761537505264904e+00 6.723474586663712671e+00
3.634200315538026693e+00 6.200198862744628059e+00
3.214752095006472743e+00 4.493441531764233332e+00
5.490128018083336947e+00 1.483277148721725780e+01
3.900575811119213920e+00 5.266507773731802899e+00
5.454864228820814454e+00 1.396938120176338316e+01
3.407212880038006375e+00 3.764096570402443831e+00
5.489278983105328358e+00 1.267027320661964040e+01
8.112365508566669048e-01 3.840954303854005047e-01
2.686965089216565072e+00 3.225536298565714333e+00
5.479371468835001480e+00 1.397457899762366651e+01
5.550001093654142181e+00 1.265766177901025458e+01
4.031115229013331636e+00 5.542146588210528080e+00
5.337709796107948712e+00 8.843311866345629824e+00
6.213160915839933907e+00 1.508017962419995683e+01
2.046846645685431731e+00 1.733151164876858275e+00
5.273441008998657864e+00 1.274706688989721215e+01
5.038558600476763516e+00 8.193063740375237103e+00
3.902663282305418591e+00 6.611251938344139489e+00
2.800451573433272223e+00 1.941536644516588694e+00
3.330948907763868316e+00 4.279796772503800639e+00
3.908405418300910483e+00 5.068599771656863595e+00
3.980099277101103450e+00 5.302299123488012356e+00
4.250719311469327799e+00 5.128155897508122507e+00
3.843820458481620683e+00 3.962599976957733361e+00
4.314516305441516764e+00 5.995966631468888863e+00
3.236699829559333885e+00 3.582334029510491291e+00
3.217212938432364222e+00 3.309723238550475344e+00
3.480324326665245493e+00 2.419067044743087536e+00
2.181488349388321257e+00 3.204588959261229775e+00
3.377370502483068471e+00 6.399260078027282361e+00
1.897692099056382142e+00 6.397447895925552075e-01
3.713956954420905898e+00 3.409834233760022926e+00
4.847408891739819481e+00 8.594516425118115421e+00
4.596355530639311127e+00 7.537661994273435084e+00
2.806986656880813946e+00 3.271936314364836562e+00
4.890632389055048712e+00 1.194526198203902823e+01
5.053443184852751457e+00 9.494453447412695368e+00
5.801443549313893833e+00 1.450429193175273213e+01
3.511354704760758505e+00 7.259973670149406644e+00
3.298351241764517994e+00 3.119562790205975489e+00
4.333014798077229557e+00 7.225405081682595210e+00
5.627771298978820447e+00 1.438768279984128640e+01
3.689979917224264661e+00 4.764353702247262845e+00
4.829656345409569340e+00 9.287245389150655228e+00
5.593620074558525168e+00 1.252433972203067469e+01
3.978116230855467617e+00 3.454946033890394119e+00
3.430897205751588963e+00 3.307123789032630157e+00
5.296945897854446805e+00 9.130527255730157776e+00
3.395587343634328015e+00 2.700772995243198693e+00
4.051054034952156435e+00 4.637190316651754074e+00
5.297418251904382203e+00 1.043399282088500968e+01
3.955306554573225775e+00 4.268098776767772051e+00
3.435168722779581518e+00 3.505477028972563858e+00
5.775388433084466477e+00 1.823092342108157027e+01
3.154907651307057304e+00 4.975734578275307740e+00
5.227455113196364245e+00 1.087920776514198451e+01
5.203510024732771022e+00 1.194113419307979029e+01
4.598703990944152942e+00 9.514152483294424201e+00
4.452733808869234089e+00 7.318900436782655561e+00
1.903924433509094793e+00 1.396823907872089876e+00
3.506443502293777659e+00 5.375480434900055116e+00
3.875748961016458161e+00 9.612521500442483102e+00
3.693735136237611183e+00 6.796200115553233445e+00
3.484954503657761382e+00 4.236382673782827624e+00
3.804085077419759653e+00 4.982229546899986872e+00
4.125245641187479606e+00 1.243037809630493484e+00
4.775930487309453909e+00 7.924571479091582660e+00
3.178482194341383682e+00 3.145840411614585719e+00
2.704619070142466164e+00 2.210184688371043649e+00
4.681473913741808879e+00 5.644190957807211362e+00
4.967501202385322223e+00 1.022727781862397478e+01
2.173078307728514069e+00 2.459975317146756879e+00
4.996302593561090966e+00 8.072639924379473086e+00
