# format=SNRtot_MF, evidence_inj, evidence_filt, nofilter]
1.064317738135105351e+01 -4.227744178067584926e+02 -4.244899415524710662e+02 -4.766278323836898494e+02
1.249635320039218200e+01 -3.850121925458896612e+02 -3.870433549251420686e+02 -4.586767555694373755e+02
1.135489459588269945e+01 -3.996954503486371095e+02 -4.016269912447086199e+02 -4.591031128676832509e+02
1.324115812052543006e+01 -3.967884511094674735e+02 -3.975278942674544282e+02 -4.797690162399185851e+02
1.115175427280092180e+01 -4.108707650063022925e+02 -4.140521449092132116e+02 -4.699244214318701438e+02
1.250660980826618385e+01 -4.100728716498166477e+02 -4.123797474255046609e+02 -4.866798577169485043e+02
1.120621609595125001e+01 -4.120195804049020580e+02 -4.138050584903025992e+02 -4.686583940364456566e+02
1.307449432898419062e+01 -3.632181389983509234e+02 -3.653819659352644180e+02 -4.449834358631289319e+02
1.066590822205454003e+01 -3.819811668623132164e+02 -3.835606074501174589e+02 -4.375564482902075838e+02
1.255855320844598744e+01 -3.852621112520008637e+02 -3.866672028159500201e+02 -4.615080692875545765e+02
1.075909537940403204e+01 -3.840391545856812741e+02 -3.855436405155261923e+02 -4.393088200162999328e+02
1.255646405202567273e+01 -4.024538220322259576e+02 -4.036369923721098303e+02 -4.823845322278820049e+02
1.201435078004968027e+01 -3.933729439937316670e+02 -3.931094557748668308e+02 -4.613791695775615267e+02
1.310264146045428824e+01 -4.164906140545072049e+02 -4.230569781110928034e+02 -4.994333360171591494e+02
1.084848920415388385e+01 -4.196264370244433621e+02 -4.211618901837489943e+02 -4.772821372679725869e+02
1.324433711467872676e+01 -3.888674428493235382e+02 -3.955205661063266689e+02 -4.711577487167546110e+02
1.203984741140592796e+01 -3.969979113540286448e+02 -4.010948492964901106e+02 -4.663844878217555561e+02
1.152616182999069494e+01 -4.121449486320859137e+02 -4.148220721544535081e+02 -4.765488611119184270e+02
1.162077089535766383e+01 -3.981131275763159465e+02 -4.003690229804070100e+02 -4.603055552402972808e+02
1.047000154201815825e+01 -3.889424319544676223e+02 -3.915794138650235823e+02 -4.422022818039342837e+02
1.260187121376831065e+01 -3.871132573095925977e+02 -3.907887107420766597e+02 -4.632022110475574550e+02
1.212646846369386111e+01 -3.866980269903780254e+02 -3.879587192267982232e+02 -4.492289252379480899e+02
1.306951478202945083e+01 -3.867364281643509116e+02 -3.887943451138110618e+02 -4.704681098893573790e+02
9.901418485725264063e+00 -4.240546820955050293e+02 -4.270917377715694556e+02 -4.694009134137119759e+02
1.217837625161892845e+01 -3.885095891764700013e+02 -3.968949052195117133e+02 -4.626582921042766543e+02
9.991787945140350402e+00 -4.227691678786939065e+02 -4.232210388670677617e+02 -4.683746488989515342e+02
1.254047799633302240e+01 -4.082160989949106238e+02 -4.104723928077617074e+02 -4.843411738443471677e+02
9.564987706962288172e+00 -4.251768107801041765e+02 -4.282309929343541057e+02 -4.705362005838114783e+02
1.178410514226952444e+01 -3.837150253958752728e+02 -3.863548261983655721e+02 -4.525590853539281966e+02
1.260945144111741634e+01 -3.917932209344322132e+02 -3.947313476671873218e+02 -4.676259379965464973e+02
1.172399475536807500e+01 -3.749966158206634645e+02 -3.761118167852152396e+02 -4.384455552862120840e+02
1.143198530620539621e+01 -3.792270673837487607e+02 -3.805412914855629083e+02 -4.410641540962307658e+02
1.254061535599492494e+01 -4.290090586548893725e+02 -4.318031442971590081e+02 -5.025583204889602484e+02
1.175531678149163106e+01 -3.700165035708467371e+02 -3.752444667422834641e+02 -4.407832316121579765e+02
9.996153947077109692e+00 -3.793331343595551175e+02 -3.820028276597212766e+02 -4.264895106886324356e+02
1.058268831248503083e+01 -4.033546545340985858e+02 -4.084179886699025701e+02 -4.539944544200538985e+02
1.017144335233788155e+01 -3.831492302695029366e+02 -3.852075628093018622e+02 -4.357493451729131380e+02
1.012933926424286213e+01 -3.786506007391921003e+02 -3.805789385315375739e+02 -4.267177122757715324e+02
1.157328284455662804e+01 -3.819926767051577485e+02 -3.835750463705019797e+02 -4.478892426851267032e+02
1.001727053891320018e+01 -3.928181529392143716e+02 -3.940836794884184542e+02 -4.402965316209163689e+02
1.206471595620935311e+01 -4.115963030352465353e+02 -4.131876389321179772e+02 -4.809274101505913563e+02
1.160294446633538712e+01 -4.212097523661437322e+02 -4.235217746900481757e+02 -4.803926674850888503e+02
1.092562089632639655e+01 -4.157919711116514350e+02 -4.169683690664750202e+02 -4.720305256088161627e+02
1.250783293138647245e+01 -4.046734256257646507e+02 -4.084573443318664658e+02 -4.785556679141737959e+02
1.116915035177286342e+01 -3.742812636936203035e+02 -3.757676002145267375e+02 -4.326870267424496888e+02
1.160779937035508524e+01 -3.983600704882657055e+02 -4.011980381751047844e+02 -4.634026217033286912e+02
1.261249656048113899e+01 -4.033685206359572248e+02 -4.044317195579615714e+02 -4.782210241915219626e+02
1.177505245522534594e+01 -4.199798311663038817e+02 -4.218832600295455677e+02 -4.857783043638615368e+02
1.178814822333413304e+01 -3.825839617836681441e+02 -3.851918661046364605e+02 -4.480672631736841822e+02
1.104294497276014120e+01 -3.615191592713483715e+02 -3.647728848236213821e+02 -4.215898036500588546e+02
1.157704552261672148e+01 -4.088555191398361330e+02 -4.121976772610817648e+02 -4.713343876080128325e+02
1.220670532162039557e+01 -4.242835982969779707e+02 -4.314814120996035172e+02 -4.960532078369449778e+02
1.049264910036973930e+01 -3.918499196686333335e+02 -3.932037539498458045e+02 -4.408349988482466983e+02
1.164013604665841406e+01 -3.630608979721665150e+02 -3.653816108051070728e+02 -4.293984826755832955e+02
1.199141444172052218e+01 -4.007514224860679519e+02 -4.011820065393958998e+02 -4.751761092556361632e+02
1.135327407839361769e+01 -3.885497367110132814e+02 -3.909442453777822948e+02 -4.506442048136430003e+02
1.100771664737811228e+01 -4.055273489284657558e+02 -4.068084830313069347e+02 -4.613388539132756136e+02
1.268166034041242440e+01 -3.726879383462459145e+02 -3.743142691007880671e+02 -4.474889440422566622e+02
1.077434584200276291e+01 -3.760594798630309583e+02 -3.777917627465687929e+02 -4.338290472184373812e+02
1.112433971297883595e+01 -3.671565101485791160e+02 -3.719300868350028395e+02 -4.235337137470172024e+02
1.169854662570043935e+01 -4.062191525277005439e+02 -4.078611969504055992e+02 -4.701149083965071327e+02
1.271634560966372263e+01 -3.878241946329985126e+02 -3.904680557900635449e+02 -4.631396184507371458e+02
