# format=SNRtot_MF, evidence_inj, evidence_filt, nofilter]
6.796487945169356948e+00 -3.857588208738757771e+02 -3.881106021659128373e+02 -4.075262509148718664e+02
6.952727713038008517e+00 -3.850189573479243563e+02 -3.869709857027795579e+02 -4.060610771716652607e+02
6.803389319799841850e+00 -3.839729396348670321e+02 -3.840731768112491977e+02 -4.030496354865359763e+02
5.283760240061270430e+00 -3.893248479984522419e+02 -3.903487611412228944e+02 -4.010402787232122819e+02
5.659129084862771997e+00 -4.177885070911023604e+02 -4.181186524325228788e+02 -4.315940715089537889e+02
5.761386522355290474e+00 -3.762492695184054128e+02 -3.822961206909051839e+02 -3.941121873636365649e+02
5.302360505482855757e+00 -4.115144919757170214e+02 -4.123055937455571325e+02 -4.198109467220149327e+02
6.044462703403018722e+00 -4.062613489441489492e+02 -4.063785134951742180e+02 -4.199457711442073560e+02
6.541449029710598495e+00 -3.899743308392498875e+02 -3.939807853029591342e+02 -4.111179876023250017e+02
6.981257840698108730e+00 -3.882216352678526619e+02 -3.896272334376769777e+02 -4.106596949971182084e+02
6.163828265257660810e+00 -4.037985992998278562e+02 -4.060834849786676273e+02 -4.230074612862521235e+02
5.011314926929441249e+00 -3.712968368208264565e+02 -3.724470479940143264e+02 -3.826415982537316722e+02
5.784913873430375553e+00 -4.419543906847821972e+02 -4.418056936891330793e+02 -4.535902149516047075e+02
5.274893272988269821e+00 -3.827212110453656351e+02 -3.848277415963773933e+02 -3.948589227822033081e+02
5.744542982731711156e+00 -3.957670450851157398e+02 -3.967468375280155328e+02 -4.121880316627357956e+02
5.418215178734330451e+00 -3.657047911818860371e+02 -3.667766483489790517e+02 -3.783715320957096537e+02
7.132106938169671118e+00 -4.086962581469648512e+02 -4.116221047140303995e+02 -4.325824241883586296e+02
6.429188863117590635e+00 -4.250138096703437327e+02 -4.269995920291772222e+02 -4.426239108141905945e+02
6.918119888347089130e+00 -3.858039346386885313e+02 -3.862793125378860850e+02 -4.059997112961672769e+02
6.607470987781514538e+00 -4.050581262390639949e+02 -4.065059865041720286e+02 -4.278624025431968789e+02
6.062256462493166964e+00 -3.970406048526941731e+02 -3.981395387742762750e+02 -4.126833134463342958e+02
6.253272298018942799e+00 -4.208418006040564592e+02 -4.225758302875274808e+02 -4.374470474033012692e+02
4.825344563065105064e+00 -3.985504453831408682e+02 -3.988301133358639277e+02 -4.081591014382793219e+02
4.937899972441110563e+00 -3.884817719129258649e+02 -3.893035032226025010e+02 -3.968857706645368921e+02
7.234945814251272367e+00 -3.731800158285736302e+02 -3.753296916169788346e+02 -3.985111420248139211e+02
6.927158578772509401e+00 -3.801607808087238141e+02 -3.821189973305085346e+02 -4.019327580742558439e+02
7.202754149831680941e+00 -4.016099110583559764e+02 -4.035367514126004949e+02 -4.258876631301567386e+02
6.309943339623458769e+00 -3.870278467810816210e+02 -3.880858445982698868e+02 -4.066624466686100732e+02
6.028146805764478700e+00 -4.162471305631596010e+02 -4.173433894834860212e+02 -4.342685580222822637e+02
5.657352060084324563e+00 -4.001245364207744615e+02 -4.012602596417461882e+02 -4.152402867501086234e+02
4.969901145972456469e+00 -3.945286267480481115e+02 -3.955068385631348065e+02 -4.032816032693947363e+02
5.757481297851021473e+00 -4.090878468818161764e+02 -4.092306726845807248e+02 -4.232363077871938799e+02
3.889934558085473171e+00 -4.129645648701487062e+02 -4.135689113191937167e+02 -4.197435658557891429e+02
7.633348391686116230e+00 -4.013303333897547986e+02 -4.029281654768598173e+02 -4.307589034731144579e+02
6.975917464713555560e+00 -4.084598773007174373e+02 -4.097269027926677154e+02 -4.294382115942901237e+02
7.239321272173666166e+00 -4.135132842928834975e+02 -4.159974338210947735e+02 -4.392422001331041770e+02
6.919594838319794050e+00 -3.768537885470365154e+02 -3.771841664508173722e+02 -3.960941715772471525e+02
4.392969003867700728e+00 -3.812725820135793811e+02 -3.820038044525421697e+02 -3.893728197191845766e+02
5.170011281809194337e+00 -4.011293542314236333e+02 -4.022743746181133133e+02 -4.107100596783005244e+02
4.792462792591376974e+00 -3.871126904008345377e+02 -3.898380847541112075e+02 -3.989958422257560073e+02
5.234165836284740081e+00 -3.876023699177450794e+02 -3.897028276742319690e+02 -3.979336756645518562e+02
5.913977107498996411e+00 -4.245261746630970379e+02 -4.256758465805933156e+02 -4.371214746755741771e+02
6.145977504438772776e+00 -4.038716047794443966e+02 -4.058280665793748767e+02 -4.238148676535786308e+02
6.298825088869079103e+00 -4.080857664521865900e+02 -4.101913404888140349e+02 -4.253630694755223089e+02
5.349508626727726757e+00 -4.055029753452231489e+02 -4.055263490543815692e+02 -4.160510984076720433e+02
6.163659634479049743e+00 -4.037485114291279160e+02 -4.052563827805585674e+02 -4.236956952417494335e+02
5.321754151178975434e+00 -4.067695082622449263e+02 -4.093418841522768616e+02 -4.241068905847384372e+02
5.508511442416565984e+00 -4.090335886723480598e+02 -4.120227027602894054e+02 -4.256036657100438561e+02
5.840166153838563190e+00 -3.917937458102739470e+02 -3.931760029681818196e+02 -4.047827057364723373e+02
5.026048260363528364e+00 -3.800275207220863649e+02 -3.795827789176825604e+02 -3.915093858331061938e+02
5.431150444855295412e+00 -3.848234038575312752e+02 -3.860182228036226206e+02 -3.985805656521145579e+02
5.572867672580332332e+00 -4.178476485223382042e+02 -4.190730235944664628e+02 -4.320967048822753895e+02
7.429206486308621571e+00 -4.014741386657502744e+02 -4.024477688460114564e+02 -4.241542340508404436e+02
5.400960969245272025e+00 -4.206885561532286033e+02 -4.215440645685996515e+02 -4.322399703478151878e+02
5.250970541561014393e+00 -3.984471351870774924e+02 -3.987872063258473645e+02 -4.102606248999083505e+02
4.597946645141084865e+00 -3.973157168588579680e+02 -3.985189191186331072e+02 -4.073669322742808845e+02
5.399538460056889200e+00 -3.892305620361714773e+02 -3.900919613354261628e+02 -4.005579229474403178e+02
6.484661593785153499e+00 -3.884323334558044394e+02 -3.906934905679955250e+02 -4.039569442086078084e+02
5.280364594295805070e+00 -3.954696838486607930e+02 -3.965779316758121809e+02 -4.076502436156436602e+02
3.954118781158781015e+00 -3.975339661955055703e+02 -3.979913260280573013e+02 -4.037485991452086296e+02
6.721432742551726847e+00 -3.980550666913377995e+02 -4.006038220178535880e+02 -4.180498042974448936e+02
5.996107827810786439e+00 -3.790812531291343248e+02 -3.805225514210158622e+02 -3.944932454461176690e+02
6.593089851027102100e+00 -3.917067302000449445e+02 -3.960174066095515286e+02 -4.133236783023397152e+02
