# format=SNRtot_MF, ln(BF)
5.624013417054208652e+00 1.272403998933543789e+01
2.573053797499593731e+00 2.291661596715528049e+00
4.927697668084540794e+00 8.103711268126289724e+00
4.510996522420639643e+00 6.740699070702987683e+00
5.291251899059979280e+00 1.081931845979960372e+01
5.849983895708443349e+00 1.420387053826482315e+01
6.268625270521482662e+00 1.841465704062306941e+01
3.456632182513720508e+00 2.680830891015943962e+00
4.370023243491899301e+00 6.886648869440648468e+00
5.778882110822235241e+00 1.219649452397203504e+01
4.807089723223551658e+00 8.329083745108107451e+00
4.455224779302252358e+00 6.767095584676837916e+00
4.126001686240733157e+00 6.010010634172772370e+00
4.109983532010199170e+00 4.260137468256402826e+00
4.811220304296895733e+00 8.778865256785650217e+00
5.068919490953812890e+00 9.756284748388907246e+00
7.290924366273795698e+00 2.340860093455893320e+01
5.150577994027717210e+00 9.147221750423796038e+00
5.349660753979460281e+00 1.293042927465268122e+01
3.741537229340441417e+00 3.918230821514214313e+00
4.826706837920821336e+00 9.411688242218076539e+00
3.411067963264707181e+00 3.701778784819111934e+00
6.419873270298131374e+00 1.750015793722849367e+01
4.525157657939211653e+00 6.593801214983614045e+00
4.693636476970820759e+00 1.121100765114209707e+01
4.873936365824210526e+00 1.010138261215342936e+01
5.340849837492487318e+00 1.018326465970113759e+01
5.516662777882979540e+00 1.266390222106065266e+01
5.552066930630100039e+00 1.311435989734735585e+01
6.071846519294672895e+00 1.464120314028843950e+01
5.033539633603589358e+00 1.070325406797792311e+01
3.721710836222128727e+00 9.917990039278834047e+00
3.997951646679875459e+00 5.973876237869035322e+00
4.144890112787858349e+00 6.831707493018200239e+00
4.446591287900079514e+00 6.268599894608257728e+00
6.805630523186104952e+00 1.735292167594832335e+01
5.475375534813960776e+00 1.220052067292459697e+01
4.945963038063704076e+00 9.296518612979866703e+00
4.690205928068585273e+00 8.865194213601057527e+00
3.817326051159467770e+00 4.435733290336486334e+00
5.377386352621158494e+00 1.112964798926338972e+01
4.730436343217270689e+00 7.951049195879249964e+00
4.683220037130412905e+00 7.644135978489373429e+00
5.254687163065216993e+00 1.050549820640350163e+01
3.970185153849031590e+00 5.024367214840026463e+00
5.395520242216492512e+00 1.237083912925538698e+01
5.870947306353181183e+00 1.354025551438303410e+01
4.806963648531525024e+00 8.769226370315266195e+00
4.738058425108374827e+00 8.548207274337812578e+00
