# format=SNRtot_MF, evidence_inj, evidence_filt, nofilter]
2.258579368139373500e+01 -3.790755698659434074e+02 -3.837768333861325800e+02 -6.249834217089472759e+02
2.476154285890924811e+01 -3.722711406262323521e+02 -3.779036196012143591e+02 -6.765423848535766638e+02
2.295459155489463043e+01 -3.871051273192078952e+02 -3.931320639913698187e+02 -6.465617446311634922e+02
2.339137066814719645e+01 -4.008832816221513440e+02 -4.099108198191659653e+02 -6.697209305447087218e+02
2.220089069812046390e+01 -3.541142665519613502e+02 -3.629900045501846648e+02 -5.962637233249811288e+02
2.325770796902673254e+01 -4.198016860892832938e+02 -4.240571979004332093e+02 -6.847041493936188772e+02
2.454937052427785460e+01 -3.942856998659965484e+02 -4.066156041684989191e+02 -6.918630927350526463e+02
2.395688357141440505e+01 -3.979256540715012989e+02 -4.042263564813588346e+02 -6.808542163199782635e+02
2.553980353769031808e+01 -3.641621717904748721e+02 -3.730609794402874400e+02 -6.862291632185549588e+02
2.241619344903192257e+01 -4.205078489341075283e+02 -4.241045446211349486e+02 -6.691670004885380649e+02
2.314368054242158479e+01 -4.005212739625539484e+02 -4.108577143463375592e+02 -6.625740163349156546e+02
2.099632506572033463e+01 -3.855889188429125625e+02 -3.918296279364606107e+02 -6.027276352298219990e+02
2.423747641548204612e+01 -3.785911712924950052e+02 -3.842681334112680247e+02 -6.665055522500672396e+02
2.216207139610721910e+01 -4.046298333694124949e+02 -4.116464889468024921e+02 -6.431850970150900366e+02
2.296847150713011843e+01 -3.967292833284978428e+02 -4.023086624572812866e+02 -6.585228379310185574e+02
2.204221036681764900e+01 -3.735264000705151943e+02 -3.773235815735660594e+02 -6.145750069372761573e+02
2.267167222443057994e+01 -3.942649086200109423e+02 -4.032495157224588525e+02 -6.456791963070514839e+02
2.211048897501457944e+01 -4.249762256293295195e+02 -4.402538237370623051e+02 -6.678516460193127386e+02
2.313936207520549715e+01 -4.080077735717112546e+02 -4.155937482069277280e+02 -6.703232297532581470e+02
2.520925195171653144e+01 -3.912668733016290616e+02 -4.006997919835642392e+02 -7.020655106385933095e+02
2.371263832666140203e+01 -4.138778786704066874e+02 -4.208252785443710877e+02 -6.937597657394552471e+02
2.275991028475831257e+01 -3.652551354787991045e+02 -3.734219248294821796e+02 -6.198383646264773006e+02
2.450334847587070541e+01 -3.749181363201464023e+02 -3.902739730886308394e+02 -6.717225267430058011e+02
2.198643404681706315e+01 -3.855872940276427130e+02 -3.897801494332218226e+02 -6.208813109154174299e+02
2.437307807086405731e+01 -3.693812609144889620e+02 -3.774980854201193665e+02 -6.593539608722912817e+02
2.314730807123338963e+01 -4.066685324906395067e+02 -4.096413869059988428e+02 -6.686756820878011922e+02
2.544004389523902177e+01 -3.774078709651590771e+02 -3.883429267957598654e+02 -6.982874516197256298e+02
2.394091711875660522e+01 -3.911848147242977234e+02 -3.980395344351404106e+02 -6.719006919924113390e+02
2.596469515699680741e+01 -4.169824529328647031e+02 -4.331461659714029224e+02 -7.493800519403259841e+02
2.217329286482240036e+01 -3.879532068018378936e+02 -3.986549724074189953e+02 -6.308188207111541033e+02
2.526361346023280063e+01 -4.055203553148931519e+02 -4.116973726572907140e+02 -7.206836859575851122e+02
2.313523135699729494e+01 -4.020004962517564309e+02 -4.076513921957005095e+02 -6.619317287636499714e+02
2.349914317474212311e+01 -3.771634728296235153e+02 -3.860115574091522603e+02 -6.504693289879627400e+02
2.374706830123581014e+01 -4.363988938622832165e+02 -4.462690273092412667e+02 -7.150267092545298055e+02
2.269104858228240928e+01 -3.897250796904515937e+02 -3.970356521164526953e+02 -6.423050166582611382e+02
2.349152146140085407e+01 -3.765897408904813233e+02 -3.862312505217036573e+02 -6.490672858544115797e+02
2.345495857329845180e+01 -3.968453299674373511e+02 -4.036133274891669203e+02 -6.691781736562040805e+02
2.325783717972440456e+01 -3.811643414145651718e+02 -3.869861624024675280e+02 -6.482366397695401474e+02
2.230972460886361119e+01 -4.389988097233298276e+02 -4.504555000800574476e+02 -6.824313478628546363e+02
2.354315023795150097e+01 -4.339677984847407970e+02 -4.387287405998309850e+02 -7.095690521941293127e+02
2.352453169822785028e+01 -3.965843245214728086e+02 -4.033262645485122562e+02 -6.699734266448489279e+02
2.400269488977302856e+01 -3.809998800487007884e+02 -3.855538282849842631e+02 -6.612566499285309192e+02
2.206697150014477415e+01 -3.902518603865235036e+02 -3.992659690553007863e+02 -6.296555199010350634e+02
2.184417038397973698e+01 -3.821070157851515887e+02 -3.954659310157923642e+02 -6.154033376083899611e+02
2.492734825852717151e+01 -3.973624231271618328e+02 -4.026643192097966448e+02 -7.035110641734792125e+02
2.291651178910639786e+01 -3.887994053118053444e+02 -3.988147361251297980e+02 -6.398977003765625113e+02
2.229404428282853345e+01 -3.757171516464288743e+02 -3.799796885509056210e+02 -6.208823717796897199e+02
2.153125368997391931e+01 -4.015736091502871545e+02 -4.185314752776439491e+02 -6.305123303581265191e+02
2.283048666739742316e+01 -3.864970153834259463e+02 -3.911846856860468051e+02 -6.431686975573701375e+02
2.542497199331466362e+01 -4.280934852245270008e+02 -4.399221813395315053e+02 -7.443460394618909959e+02
2.391067757569175711e+01 -4.142477316326865662e+02 -4.269507940494190166e+02 -6.955331318046387423e+02
