# format=SNRtot_MF, ln(BF)
7.148260640630834217e+00 1.693330330594375255e+01
8.643632841178185089e+00 3.295808528921918423e+01
6.874751785817341698e+00 1.840122237134124816e+01
8.631278801248377874e+00 3.577096579352712524e+01
8.947817122688634939e+00 3.667258414351255169e+01
6.760775643644346466e+00 2.045787174642566697e+01
8.444522302188877561e+00 3.219014142443370474e+01
8.087411240814212476e+00 3.089382603338663102e+01
9.197393997136346755e+00 3.490719434457429315e+01
8.395416431804935797e+00 3.170407495039012247e+01
8.524573700181296232e+00 3.304539943354126308e+01
8.625383783376420865e+00 3.552931086732570520e+01
7.002632058228670076e+00 2.078381136206030533e+01
7.606052968042103402e+00 2.682646451355316231e+01
8.673058512240164220e+00 3.355919684139047376e+01
9.831032908895904754e+00 4.565625520701598816e+01
7.831510281448280431e+00 2.627481428002607799e+01
1.117288993831347632e+01 5.843361121924760937e+01
9.352030510624363302e+00 3.960700915756967788e+01
7.668781596109112364e+00 2.376754587750292558e+01
9.916326768465955510e+00 4.580114947171381345e+01
7.952014921650961021e+00 2.735769167156922776e+01
7.746087609256859352e+00 2.800477449119910034e+01
7.743810378351024148e+00 2.823117674624131723e+01
9.297850840352749557e+00 3.813362134448345842e+01
8.542498169589174850e+00 3.239670965125674229e+01
8.781016162979138784e+00 3.369526158577252772e+01
8.430870083235836532e+00 3.139460578214357156e+01
1.067758322330470655e+01 5.346694407541741612e+01
8.135015718015479180e+00 2.966481476988235499e+01
8.729277378585084790e+00 3.499899794179759738e+01
8.821218734747471757e+00 3.988334802771856857e+01
6.701238863961501480e+00 1.784218347254949322e+01
8.740715447966838525e+00 3.383006499593278704e+01
8.917423368109693271e+00 3.645826234964255264e+01
7.497083835248575134e+00 2.433134475023683763e+01
6.324177420180992826e+00 1.713568518756812864e+01
7.277968912363416365e+00 2.240644585327822824e+01
7.839526883007597036e+00 2.823603868326051725e+01
7.767635304745097891e+00 2.876656079535922572e+01
8.662683361149483119e+00 3.458824023151441907e+01
9.497356115340599203e+00 4.202355640908535861e+01
5.924959459798580852e+00 1.131346435412922347e+01
8.086500741658159797e+00 3.005190757949640101e+01
8.710977026360035680e+00 3.412857870524720738e+01
8.253041780898517032e+00 3.234445044755233312e+01
8.339435813842744238e+00 3.041545403056863961e+01
8.415688307243557986e+00 3.226983657006957174e+01
9.688697484713689079e+00 4.321552127040996538e+01
8.003159584823238859e+00 2.859912401609636845e+01
9.965387412080794149e+00 4.717078206996887957e+01
7.069956329394584849e+00 2.093571205625352150e+01
7.250574128983223510e+00 2.292660835775910755e+01
8.600402001023503828e+00 3.612646744766277607e+01
7.977577752753155060e+00 2.672468287126315545e+01
7.937200539359273499e+00 3.149128338617549616e+01
8.422752012528487597e+00 3.177008596655178962e+01
8.966749952769866638e+00 3.740071648058483333e+01
8.097230330733371062e+00 3.037954742537976927e+01
8.442957301501214928e+00 3.208638198245290596e+01
8.870851647745393365e+00 3.200856608832344818e+01
7.823208947947739134e+00 2.648614440569554063e+01
6.893444062376437032e+00 1.510200690182739436e+01
8.136781838523274857e+00 2.984709583157911084e+01
7.699348002415481673e+00 2.304662805375221524e+01
8.318248599376707020e+00 2.932769374140474383e+01
7.989900693100175921e+00 2.764597452177503101e+01
8.162323086849463394e+00 2.985778070811784346e+01
1.040476953081913081e+01 5.147854014959636970e+01
8.365868306685550593e+00 3.250161138824506679e+01
7.108857373800622881e+00 2.338378637881010036e+01
9.778835693032709386e+00 4.284129031862943293e+01
1.015655673463269082e+01 4.708439566913233421e+01
8.401920959987437598e+00 3.270089370222706293e+01
6.956873564463881721e+00 2.194221816387147328e+01
8.734709901310679925e+00 3.286611566823961539e+01
9.493940239981165874e+00 4.100605491481337594e+01
9.263054008260809269e+00 3.961796598689352322e+01
6.715641715112805166e+00 1.816294798211305306e+01
8.432995019313926477e+00 3.286548929652923334e+01
6.176454667259053011e+00 1.501910880063473996e+01
8.378338932536475880e+00 3.186284677821049627e+01
7.742188617414587526e+00 2.872880245824183021e+01
7.659471662350167520e+00 3.092023814495109946e+01
5.881732209300940539e+00 1.461028516666857513e+01
6.928680713992680928e+00 2.088476432624685231e+01
7.932198124236574444e+00 2.690887238038732221e+01
7.895503173619197845e+00 2.775624519340937013e+01
9.074800417822496357e+00 3.741691739680277351e+01
6.079917105244818210e+00 1.503784607435324006e+01
9.915588872934169018e+00 4.511861301338348085e+01
8.917440709361121876e+00 3.756595058171450319e+01
9.269481988560039909e+00 3.921014289456508095e+01
9.710297577792520229e+00 4.349618134192206753e+01
9.917385028195084828e+00 4.485513506243916027e+01
7.966019556268737922e+00 2.909846546858977945e+01
8.161711146603018108e+00 3.303051650424458785e+01
8.591826339190852480e+00 3.472810816100712827e+01
8.145990311988690280e+00 2.954681871218360811e+01
8.124701358673505069e+00 3.017525871935976056e+01
8.385891688750641393e+00 3.141027755475067806e+01
8.856649048496661791e+00 3.475401725349485105e+01
7.016271664304428946e+00 2.251306366455042962e+01
8.402445052190465447e+00 3.273192076912908988e+01
8.127116303444523737e+00 2.973413607723432506e+01
7.219675524552096491e+00 2.194271942180944279e+01
7.802940669668049445e+00 2.821615624411117551e+01
8.421209038693424631e+00 2.961197339124089467e+01
6.184207289643068428e+00 1.540837405231405910e+01
8.639375521735356500e+00 3.304954359732181501e+01
7.319409550667219655e+00 2.364203993984421004e+01
9.843525613331676638e+00 4.425210224804402515e+01
7.474898782849366263e+00 2.869900333966847938e+01
8.721779668029943977e+00 3.497203379227818232e+01
9.528085837503740052e+00 4.228821034804241208e+01
1.007102990222158034e+01 4.683316969393666795e+01
7.300922879972699953e+00 2.377320328112398329e+01
8.407468768072980936e+00 3.232887027018125536e+01
7.770610160952742262e+00 2.746793602954392099e+01
1.029174392167499619e+01 5.021483520891410990e+01
1.067991367184386320e+01 5.272482043030265686e+01
6.910972095738030951e+00 2.341755723188470029e+01
6.787514834184575463e+00 1.526806180021287673e+01
7.557262516290638388e+00 2.646997585390886343e+01
8.865246856941682907e+00 3.484292003187960063e+01
7.282158598283619000e+00 2.169064965473262419e+01
8.129602732673998133e+00 2.898019720230735174e+01
7.858484353043008852e+00 2.799429195597383568e+01
6.449292831919644087e+00 1.745805172023813157e+01
8.675095588311268813e+00 3.405064677984432819e+01
7.003543491203641835e+00 1.947581668782993347e+01
9.613772478855153736e+00 4.376982428059966423e+01
9.246531554243118123e+00 4.350163781368922855e+01
7.764888043345187008e+00 2.561691832319189643e+01
9.118878456252499376e+00 3.794177479355766991e+01
6.381503815457404194e+00 1.396424665495726458e+01
7.464506228625002571e+00 2.511938244559115674e+01
8.045923865653099583e+00 2.990195585717839322e+01
9.643558541166559195e+00 4.211606577668959517e+01
8.434970674379252742e+00 3.249083192462143188e+01
7.812033573197196823e+00 2.592857530138184075e+01
6.923685066256362930e+00 2.025134585902389972e+01
7.659694363446059917e+00 2.436250884628935864e+01
8.677164835732510184e+00 3.513642317941730653e+01
8.318243482813258538e+00 3.048341929720697863e+01
6.596391993443238455e+00 1.804020127944636442e+01
7.087988522359833787e+00 1.917137314749828647e+01
9.519650538345519664e+00 3.846186250794715988e+01
6.083759870715899076e+00 1.551361841866128088e+01
7.022142327028082498e+00 1.868277919249499064e+01
8.682742073196383359e+00 3.423886014539044709e+01
9.036316958519837073e+00 3.533843912062451409e+01
8.656698113379386328e+00 3.607960735488177306e+01
8.102704399738300367e+00 2.942813266136192851e+01
7.130291253502328175e+00 2.224092043489531534e+01
9.963999193000036669e+00 4.367697265049974931e+01
8.814998101809031539e+00 3.410589975885858394e+01
8.788698742510350215e+00 3.131711534104738348e+01
6.414458913168957999e+00 1.765681014238577973e+01
9.114489187877259369e+00 4.128204822673382068e+01
8.952602235202807179e+00 3.696387646122019532e+01
7.649269399535206126e+00 2.650622844902869701e+01
8.129372648452362071e+00 2.765220775994845326e+01
7.234586611011790680e+00 2.223115005423034063e+01
8.795595072760914235e+00 3.647258854078313561e+01
8.203643847993260962e+00 3.189440653732606279e+01
5.850573532149534017e+00 1.280212054960895784e+01
9.007035078548705442e+00 3.360742973238097875e+01
7.910923845611106842e+00 2.903297067280607280e+01
7.371122806515972847e+00 2.384159996520685354e+01
8.959985517271453759e+00 3.729381477283305912e+01
7.094694462444477878e+00 2.323945575979018940e+01
8.124891284652861145e+00 3.212984176122859026e+01
6.873159200463326179e+00 1.967695077389407743e+01
7.670290818560571822e+00 2.618375763340037565e+01
7.718696620981237544e+00 2.624487018909593417e+01
1.014558225141247405e+01 4.841075332204007964e+01
8.692976773670133994e+00 3.671587099156494105e+01
9.921748430431335919e+00 4.450817316564166504e+01
8.776633559026526754e+00 3.521011667244863474e+01
9.033326768046347155e+00 3.852053342740947528e+01
7.978382405802924460e+00 2.727455094299239136e+01
8.255550230777780385e+00 3.334653719648576953e+01
7.158723396525524585e+00 2.053631061320555773e+01
8.813083201174842785e+00 3.495674837670452462e+01
9.070379991653570784e+00 3.626086620016417328e+01
8.084425438632633742e+00 2.696103792682038147e+01
9.297768278903863148e+00 3.612491461865516840e+01
9.845673677675918611e+00 4.382586575970520926e+01
