7.897184575511145832e-01 5.127136565541549063e-01 5.706738721247522905e-01 6.791810011366495869e-01 2.969698542442666955e-03 6.937655049547879482e-01 5.854348252790373408e-01 8.881001501704304246e-01 1.084406490868104811e+00 2.443273308542302402e+00 2.305244088619701870e+00
9.806361709980314645e-01 6.702419550351998989e-01 6.123615289039469056e-01 6.726369472298142638e-01 1.000000000000000000e+00 9.560266904953910183e-01 1.714571494456777145e+00 3.163209776445228272e+00 2.609264187452879469e+00 3.273732648383429478e+00 1.462049628902548193e+00
6.706196832041151357e-01 4.690578110108046817e-01 4.335135108106090707e-01 2.130267511856956952e-01 9.619418573654521243e-01 7.021052313466311645e-01 1.165216550566469778e+00 1.170688779037845961e+00 1.335587561987097160e+00 1.159030280300726190e+00 5.748688555073613315e-01
9.981116769098369312e-01 9.597976731643869108e-01 6.191983272562668894e-01 4.191035796261958213e-01 9.989033661747011017e-01 9.934915859858398646e-01 -5.374829150958362334e-01 4.297938385252564331e-01 1.840011075785810135e-01 -3.964174903010757589e-01 7.786566013853644108e-01
9.541673736312460408e-01 9.810087036709388419e-01 9.868428742570086731e-01 8.707884482944421300e-01 9.808900702866982790e-01 9.986318889343654970e-01 -7.886604357921100927e-01 -1.208763339638892376e+00 -1.159267814712848121e+00 -1.599762559227997372e+00 -3.404515993279346731e-01
4.109829258610890879e-01 6.087511077041634078e-01 3.602221361974415892e-01 3.874531980460657055e-01 4.659729477417789978e-01 5.721421866241571674e-01 8.026882215685873234e-01 6.152163172947098246e-01 7.483917875078418547e-01 1.273491147650190669e+00 1.179912624440248692e+00
9.990813382942816956e-01 8.050583047268575765e-01 5.105329659135434683e-01 8.261828391958551121e-01 9.789378074606941427e-01 9.999455626983373424e-01 5.258126975973596018e-01 1.049439157475262618e+00 7.980263270814589305e-01 1.034566680655473192e+00 4.236428271300951565e-01
9.895466123182958817e-01 3.433071664724739458e-01 8.982058951195769358e-01 9.698726930511956112e-01 9.886568779820334996e-01 9.712076922820376268e-01 1.427099693541208580e+00 1.984549345505854490e+00 2.004089474591808084e+00 6.694172980917869609e-01 6.428138963609626444e-01
9.961649436467309160e-01 5.863790469209912981e-01 9.637857511920361331e-01 9.698959906094528627e-01 9.977092860814334996e-01 9.998126138830326637e-01 2.562821711716992468e+00 3.515040865268986181e+00 2.637785743036317854e+00 2.868674198208225334e+00 2.103629721269726360e+00
9.128918572607753745e-01 9.220566304177807426e-01 8.798673844068990446e-01 6.605457687726468130e-01 9.561274435453107623e-01 8.647021112702222290e-01 2.241216671376719205e+00 2.674037463646982360e+00 2.125087082640789049e+00 2.184949819260168624e+00 1.835688773923834560e+00
