# SNRtot, SNR221_res, SNR221, evidence220_221, evidence220, evidence221, nofilter
5.040533356725068748e-02 5.040533505001530690e-02 3.310656625148769654e-09 1.198970519449087568e+01 1.198979659650776419e+01 1.198965332731996192e+01 1.198913076022865098e+01
3.754453236669364369e+00 3.753616323020888768e+00 1.111727955425498987e-03 1.120398832390632826e+01 1.053483839474731987e+01 1.018524581350048486e+01 4.942441555886131432e+00
2.715564039433528490e-02 2.715564068397192249e-02 5.749894701085289018e-10 1.198996063552490199e+01 1.199020754905463271e+01 1.199004239476894362e+01 1.199003239465205084e+01
2.097177019630953598e+00 2.097099806348402762e+00 3.343458152655780810e-04 1.153006519676442743e+01 1.112428413952525830e+01 1.105496079491196504e+01 9.791325383220579326e+00
6.891773368830784285e+00 6.885184249704821013e+00 8.015317602497211077e-03 1.060076212566120013e+01 9.701106968988879586e+00 7.791000983213631770e+00 -1.175786897460794656e+01
2.429476438846167596e-02 2.429476447959837485e-02 2.183435675482780476e-10 1.199000185340907976e+01 1.199025949893120746e+01 1.199010626384390932e+01 1.199010599126631860e+01
2.041304447600667427e+00 2.041208641396650147e+00 1.565077896457648841e-04 1.164334331444518433e+01 1.129592141233921154e+01 1.132944915909110506e+01 9.906939185157531469e+00
7.209364273280016278e+00 7.203204493250718876e+00 8.113530814133122770e-03 1.055039395592135421e+01 9.561202864951871661e+00 7.484218399069877847e+00 -1.399706550336848387e+01
6.831223759911863169e+01 6.007918235763234804e+01 9.849169764544670969e+00 7.315820196580537171e+00 3.234398521415619676e+00 -9.309933279338837409e+00 -2.321290501790163944e+03
9.696997379956989960e+01 8.021590137112825403e+01 1.853217319608675595e+01 7.017107803951404321e+00 -7.053070842023982934e-01 -1.002828256725530665e+01 -4.689597508235581699e+03
2.024180706387085915e-01 2.024179591729806382e-01 3.669028451834952158e-07 1.198436131289629181e+01 1.198058498828237362e+01 1.198094440141046491e+01 1.196991457139411530e+01
1.569480684143080111e+02 1.078876242833483730e+02 5.547766600514281521e+01 6.498202657290466533e+00 -1.075198393107196182e+02 -5.304771892378476394e+01 -1.230435768838209879e+04
1.806798340892691868e-01 1.806798191947542043e-01 2.938228834570535743e-07 1.198490976074342740e+01 1.198194454170163681e+01 1.198173723417802172e+01 1.197407850783140049e+01
1.385731119992187343e+00 1.385663511944668524e+00 1.226753054720634568e-04 1.177410473210196784e+01 1.158797826719761126e+01 1.161076761674359936e+01 1.103027574059726312e+01
1.123886179937170771e-01 1.123886029931668168e-01 5.444647361666960382e-08 1.198830501026325024e+01 1.198743236847178650e+01 1.198743194245655097e+01 1.198408550832739472e+01
