# start_time, SNRtot_MF, SNR220_MF, SNR221_MF, nofilter, evidence220, evidence220_221, np.log10(occams220), np.log10(occams220_221)
4.200000000000000000e+01 1.647302186069927288e+00 1.647255075685386538e+00 6.064047614308725187e-01 -3.769144456981451867e+02 -3.768134031406669351e+02 -3.777505923331662530e+02 -2.442858768272447301e-01 -3.607001629043824487e-01
3.000000000000000000e+00 5.440394757677369597e+01 4.897480670036090800e+01 1.005207479043549235e+01 -1.852029138331280137e+03 -3.789022025324193237e+02 -3.752389791698112731e+02 -2.008982907460777678e+00 -1.255639062044479726e+00
1.500000000000000000e+01 1.535290448403318564e+01 1.549682912042933225e+01 2.097849798332181326e+00 -4.933849180580160692e+02 -3.788160780430235377e+02 -3.773173675910301199e+02 -1.270499578493449189e+00 -9.076181039752686530e-01
9.500000000000000000e+00 2.831166787767503124e+01 2.808505172330064426e+01 1.961146353926615182e+00 -7.741671394122823813e+02 -3.773372318355752668e+02 -3.759545840614023859e+02 -1.543946825216392149e+00 -1.144369636282604574e+00
3.400000000000000000e+01 3.823329651954438191e+00 3.823464098447326265e+00 1.506750312672259229e-01 -3.796382508920833061e+02 -3.746092673181126429e+02 -3.738539123452234207e+02 -6.095163402246019935e-01 -6.888510975911843470e-01
2.750000000000000000e+01 5.731725889981563959e+00 5.737504537042196873e+00 -6.409631629454218826e-01 -3.957010142273393853e+02 -3.820689573868615980e+02 -3.814766309153949919e+02 -7.834968477158243960e-01 -5.907215098516723772e-01
4.850000000000000000e+01 2.162450503330587637e+00 2.162330287768646997e+00 1.118826299455195405e+00 -3.807655377866640833e+02 -3.797863919934839601e+02 -3.822085910549959635e+02 -4.158849214490710211e-01 -3.991540645448497515e-01
4.450000000000000000e+01 1.775636932827469705e+00 1.775639911454946596e+00 6.001708746480720613e-01 -3.790129757842566960e+02 -3.786596984778696537e+02 -3.807310186077014009e+02 -4.300179759812516322e-01 -3.638332785903460875e-01
3.800000000000000000e+01 3.473324478112905567e+00 3.473423137159493024e+00 4.511413358806442564e-01 -3.791397416236619051e+02 -3.744198044325964361e+02 -3.739565681564704391e+02 -4.709127578317552354e-01 -2.630353823739330910e-01
5.500000000000000000e+00 3.441532458125894323e+01 3.217682977642773068e+01 7.443996106920250710e+00 -9.659688367937894782e+02 -3.793469698539962565e+02 -3.761951263664934118e+02 -1.825528237470728454e+00 -1.196810685928749507e+00
