# start_time, SNRtot_MF, SNR220_MF, SNR221_MF, evidence220_221, evidence220, evidence221, nofilter
3.800000000000000000e+01 4.757326984624656774e+01 1.615324722605150853e+01 3.395405793694876451e+01 -1.512013530963199855e+03 -1.515539437710189077e+03 -1.520456170821793648e+03 -1.531691120984423378e+03
9.500000000000000000e+01 4.736970623651793488e+01 1.455451734142247666e+01 3.413653963109225487e+01 -1.518294652230982592e+03 -1.522877432625212805e+03 -1.518704285387918617e+03 -1.528758141234753339e+03
4.400000000000000000e+01 4.757370652967108526e+01 1.530770357541456583e+01 3.402336310932792429e+01 -1.512438342111430529e+03 -1.513624578611644893e+03 -1.515986352902995350e+03 -1.529387039704456811e+03
8.000000000000000000e+00 1.297510801955128841e+02 1.062897732580907899e+02 3.964545321304634484e+01 -1.501318661913844835e+03 -1.527693400334885609e+03 -1.546160589063047155e+03 -8.791138541382613766e+03
9.200000000000000000e+01 4.739610097563608093e+01 1.457926584041148743e+01 3.416013044778455310e+01 -1.519598595721075753e+03 -1.521614367437299052e+03 -1.517867948978811455e+03 -1.526556790688987121e+03
4.300000000000000000e+01 4.753314845218225315e+01 1.562244186409482438e+01 3.391821831098983608e+01 -1.509515713409852879e+03 -1.508040534458785032e+03 -1.511528852709650437e+03 -1.527396488011908559e+03
1.000000000000000000e+00 2.833331509273633628e+02 1.890509236575102534e+02 1.079175550591195503e+02 -1.507087068832224759e+03 -1.875759334445279592e+03 -1.663319356940957960e+03 -4.051014664652424108e+04
3.100000000000000000e+01 4.985325383947138533e+01 2.044917294710980116e+01 3.413476429475551299e+01 -1.516000512804193249e+03 -1.518051224069998398e+03 -1.521256793747393203e+03 -1.639511119246772978e+03
3.600000000000000000e+01 4.825313081692127071e+01 1.740327446064253536e+01 3.401697414381344942e+01 -1.513810979528376265e+03 -1.517046519662540277e+03 -1.520180568127268771e+03 -1.562887613471347549e+03
6.000000000000000000e+00 1.835770236986168413e+02 1.432056721341825778e+02 5.243638727511397235e+01 -1.502866649044775841e+03 -1.552443204919271693e+03 -1.554144072713380410e+03 -1.722405553177031470e+04
7.800000000000000000e+01 4.727201251078186317e+01 1.447192245447823922e+01 3.402467058783769005e+01 -1.514054101663262827e+03 -1.513805004815110351e+03 -1.515031909022877016e+03 -1.519301231666313925e+03
7.600000000000000000e+01 4.728291324163435405e+01 1.447718046181850582e+01 3.403046798297572906e+01 -1.515414486860938268e+03 -1.514626505149330114e+03 -1.516554948911384599e+03 -1.520375939752261729e+03
7.100000000000000000e+01 4.729290779158135649e+01 1.447586870336741249e+01 3.406820223955721616e+01 -1.514631545680447289e+03 -1.515940297570786015e+03 -1.518791213822734790e+03 -1.519727429306642989e+03
6.000000000000000000e+01 4.744439008460996376e+01 1.467754438087667168e+01 3.414266822243734367e+01 -1.518563064441489132e+03 -1.523091482472962298e+03 -1.521953545092541844e+03 -1.524898333914202567e+03
6.700000000000000000e+01 4.742954269734138251e+01 1.461232201582347301e+01 3.421858711804195963e+01 -1.510680702138281049e+03 -1.519538723278300040e+03 -1.517252238666943867e+03 -1.522807901668299110e+03
6.900000000000000000e+01 4.734508170454486731e+01 1.453090191313262558e+01 3.413378928834276138e+01 -1.513043580010013102e+03 -1.516961417135847796e+03 -1.518440658804065833e+03 -1.520528676852134822e+03
1.500000000000000000e+01 7.740101619270365063e+01 6.040712594275805003e+01 3.429908550951179080e+01 -1.505328446748339047e+03 -1.506179614078666418e+03 -1.537837077376586421e+03 -3.376764415852042930e+03
1.200000000000000000e+01 9.872386801924335487e+01 8.361369589016186410e+01 3.441632778706213003e+01 -1.500941736214520461e+03 -1.500270384638797395e+03 -1.545723389572758606e+03 -5.246966804566415703e+03
2.700000000000000000e+01 5.205017353847724593e+01 2.704189186882532070e+01 3.406271009632133229e+01 -1.513555215384471921e+03 -1.512410807030601745e+03 -1.532769076511598541e+03 -1.745097054618024458e+03
2.000000000000000000e+01 6.530722664744399708e+01 4.549988786766439119e+01 3.416815662369257467e+01 -1.509982538331130627e+03 -1.514131695609578173e+03 -1.520670905109054956e+03 -2.520028704049568205e+03
5.200000000000000000e+01 4.713332809400777279e+01 1.455295098157215428e+01 3.386537249807599892e+01 -1.512592839633673066e+03 -1.511475988646231599e+03 -1.511558879511919713e+03 -1.509992675942804908e+03
8.300000000000000000e+01 4.722298846798892669e+01 1.441299360114570227e+01 3.399340008986719397e+01 -1.515008985350799094e+03 -1.514112125483609589e+03 -1.514871412788498674e+03 -1.514470158980613633e+03
2.900000000000000000e+01 5.041552844183905080e+01 2.238335584647302312e+01 3.418701345659200541e+01 -1.513933573158713671e+03 -1.517058683241389417e+03 -1.526812649372947590e+03 -1.664500883559627709e+03
5.500000000000000000e+01 4.734300591258084978e+01 1.470849254854633159e+01 3.410783223377887907e+01 -1.521101787106166285e+03 -1.520575937436621643e+03 -1.522464872590392361e+03 -1.521892846923951538e+03
8.400000000000000000e+01 4.721357018658521554e+01 1.440507022536438164e+01 3.398200805626018450e+01 -1.518051963614229862e+03 -1.517857725657258925e+03 -1.517845721766512270e+03 -1.517545148940232139e+03
7.000000000000000000e+01 4.735196245590564246e+01 1.452707514662460220e+01 3.413881634030307310e+01 -1.514420870958748765e+03 -1.518230352468276124e+03 -1.519392836415237070e+03 -1.522003549742021505e+03
7.700000000000000000e+01 4.730072368568533392e+01 1.450033220983287130e+01 3.404909367200531278e+01 -1.513207411842506644e+03 -1.513297163686572048e+03 -1.514453005437753291e+03 -1.519480509259482005e+03
7.900000000000000000e+01 4.727730851024948322e+01 1.447456267025249055e+01 3.403586479785560925e+01 -1.514855960495931868e+03 -1.515089629708484154e+03 -1.515683704599472094e+03 -1.519694265954480670e+03
3.700000000000000000e+01 4.779357055051423231e+01 1.648423898525599185e+01 3.398955399399112309e+01 -1.513402899912270641e+03 -1.516193771576422250e+03 -1.520319794952749135e+03 -1.541151318016717596e+03
7.000000000000000000e+00 1.568743277132872436e+02 1.252094017193195867e+02 4.514334321641087655e+01 -1.502198909759058097e+03 -1.537301108053216467e+03 -1.549518886784085680e+03 -1.267940372990436299e+04
0.000000000000000000e+00 3.749534805312850949e+02 2.232672387959528351e+02 1.664444499819663577e+02 -1.501162443375112844e+03 -2.613300780383928668e+03 -1.776931833512733874e+03 -7.066572801125816477e+04
