# start_time, SNRtot_MF, SNR220_MF, SNR221_MF, SNR330_MF, nofilter, evidence220, evidence220_330, evidence220_221_330, np.log10(occams220_221), np.log10(occams220_221_330
2.250000000000000000e+01 4.645798000880399847e+00 6.584218637036888033e+00 -1.163924293003987476e+00 6.277322073210156006e+00 -3.920054768784532939e+02 -3.769568255841385280e+02 -3.677065213652043099e+02 -3.643428696295908367e+02 -1.078319977581113864e+00 -6.144779955736305865e-01
2.000000000000000000e+00 2.247100555466795058e+01 3.763842362113369688e+01 1.659183315719070606e+01 4.332530682550665091e+01 -1.373062166084720047e+03 -7.969990032431758209e+02 -3.727940838200692610e+02 -3.686069742301774568e+02 -2.431390706339702668e+00 -1.612309947709767988e+00
1.000000000000000000e+01 2.332201343944906924e+01 1.930792043229715560e+01 2.457614191247112334e+00 1.912232945468931078e+01 -8.141032564696965892e+02 -4.477028751632247463e+02 -3.709413419111639882e+02 -3.682306106416500029e+02 -1.468822296540286620e+00 -1.417925352901892477e+00
4.150000000000000000e+01 3.009899433516296963e+00 2.469117805306304980e+00 1.198437521573261361e-01 1.073350401281518041e+00 -3.736887428408658707e+02 -3.704539747281992277e+02 -3.705528445334971366e+02 -3.723113669720997905e+02 -3.500446049409667859e-01 -2.670727302442799656e-01
1.550000000000000000e+01 2.045682670808227854e+01 1.259321104298332905e+01 -7.612382359102655149e-01 1.232061135115229078e+01 -6.248800999288357616e+02 -3.919081019003400002e+02 -3.679198932653858947e+02 -3.665459713295546749e+02 -1.383499728144560681e+00 -1.110941706873801227e+00
4.800000000000000000e+01 2.844268226721997195e+00 3.016416071367272522e+00 1.382889663848953399e+00 1.464307030020550737e-01 -3.750180190159802578e+02 -3.722886956298282826e+02 -3.723545070652352251e+02 -3.739710378706027996e+02 -3.949798366793708659e-01 -2.030608638084894779e-01
7.500000000000000000e+00 2.018918082698316852e+01 2.727398413351231099e+01 2.887529877756759067e+00 2.466029197368138171e+01 -8.352316968905719250e+02 -4.876948132688371516e+02 -3.721184745737122057e+02 -3.680443594450482010e+02 -1.556766139296414941e+00 -1.550117907585355503e+00
2.700000000000000000e+01 1.817189893892593666e+00 3.824811438650673523e+00 -1.995792207120265171e+00 4.826777290337914472e+00 -3.726983778670327752e+02 -3.707116343217580265e+02 -3.668031155351908410e+02 -3.651986344680618686e+02 -6.121334411103445117e-01 -5.774663679521643278e-01
3.450000000000000000e+01 2.027593715121693840e+00 1.709251930691475296e+00 -1.589997036252068341e+00 2.005819322965184170e+00 -3.730075697498523368e+02 -3.706828995009154823e+02 -3.678755372880104346e+02 -3.670610018461466666e+02 -4.188643530985150520e-01 -4.124589309522678215e-01
3.850000000000000000e+01 3.171055681078671196e+00 2.446356980668884518e+00 -1.768743989416352302e-01 1.434171770984941530e+00 -3.723157179843295239e+02 -3.688654521225647613e+02 -3.674990460425985361e+02 -3.669905745743400871e+02 -4.182287174003967989e-01 -5.059956817868163093e-01
1.950000000000000000e+01 1.168169324254348496e+01 8.983770099539396981e+00 -7.170051612547633235e-01 8.488838354140264997e+00 -4.654987643129009598e+02 -3.841348587698691404e+02 -3.654534643023933427e+02 -3.645152199097261700e+02 -1.298290636068167414e+00 -8.233523097574988459e-01
1.300000000000000000e+01 2.376956114274710430e+01 1.795236404217669701e+01 1.275545930291226870e+00 1.352926976841695428e+01 -7.246383235544013814e+02 -3.993406065308701614e+02 -3.671682977069177127e+02 -3.653777326419528322e+02 -1.461353929717145839e+00 -1.320648763352593846e+00
1.000000000000000000e+00 2.545451117134485486e+01 4.493871185014489811e+01 1.675110471747174756e+01 4.486092707721540052e+01 -1.451350735699055122e+03 -8.891379483798016281e+02 -3.728845712688711842e+02 -3.689594139785533571e+02 -2.518945215466361187e+00 -1.651545354407880639e+00
2.150000000000000000e+01 7.948934549869727029e+00 7.987575396191860300e+00 -4.833620151340781712e-01 7.160953480751302003e+00 -4.219419811182901299e+02 -3.799017306219492411e+02 -3.679219608082752302e+02 -3.657937868270558397e+02 -1.173057507872508953e+00 -5.273832690181298188e-01
3.200000000000000000e+01 1.350095254235469611e+00 1.448799657833059085e+00 -2.517602386786470969e+00 3.906977135131171952e+00 -3.789927585511432540e+02 -3.726384058086391633e+02 -3.699164129969629471e+02 -3.689625343412193388e+02 -3.313435978275959815e-01 -3.772834485123969794e-01
4.250000000000000000e+01 2.959675964148018590e+00 2.565502771267534676e+00 7.815203090838409583e-01 1.081457744046505409e+00 -3.761723735519785237e+02 -3.715955199432653444e+02 -3.711428184654556048e+02 -3.718551160774215987e+02 -4.661897934634156027e-01 -2.890305912420924606e-01
3.750000000000000000e+01 3.023113238459116836e+00 2.015246204693693866e+00 -5.427920311762101102e-01 1.199856137928907662e+00 -3.727087572685305190e+02 -3.693659269911630645e+02 -3.679663316677924740e+02 -3.671119030717972009e+02 -3.965950262347083255e-01 -5.712885616517496823e-01
2.400000000000000000e+01 1.481653013089900606e+00 4.284607746764866221e+00 -1.656583756302115962e+00 6.042172030776378655e+00 -3.758233040239443312e+02 -3.736130513377461284e+02 -3.674206985658455551e+02 -3.647979356491949261e+02 -8.584374182906799877e-01 -4.778924615251022856e-01
4.500000000000000000e+00 2.412962870109960889e+01 3.267436171103062037e+01 8.293526603466471414e+00 3.014955599169310929e+01 -9.891186481433769586e+02 -6.754125512963265692e+02 -3.714896147248088027e+02 -3.673007942505840902e+02 -2.000808993370042366e+00 -1.622694653004723042e+00
1.650000000000000000e+01 1.633555498880096479e+01 1.087344817995450619e+01 -7.225156089807276416e-01 1.120913629999269645e+01 -5.486536480800647269e+02 -3.914184490113660218e+02 -3.673326803737873547e+02 -3.660712283805595462e+02 -1.388545529921535460e+00 -1.003733911138559254e+00
2.800000000000000000e+01 1.429206296878698934e+00 3.723045024207804587e+00 -1.826759128257160691e+00 5.083813413487517252e+00 -3.732857209508435403e+02 -3.702478537905703320e+02 -3.674764644340619952e+02 -3.664254357544311915e+02 -4.263065284656485376e-01 -4.198691407017971500e-01
8.500000000000000000e+00 2.288862194732427113e+01 2.345573519816953834e+01 2.986491844691766318e+00 2.044790182590875105e+01 -8.360976547819915368e+02 -4.804319664003299977e+02 -3.718262188281785257e+02 -3.679816752971252072e+02 -1.515488214909740616e+00 -1.501672340931368366e+00
4.700000000000000000e+01 2.867556677713440916e+00 3.005581635442689858e+00 1.110271473208085391e+00 2.306952280264468469e-01 -3.748379943729248112e+02 -3.722198184463522352e+02 -3.721400522751443987e+02 -3.739236269148591987e+02 -4.102291209708990305e-01 -1.271896718944700855e-01
1.200000000000000000e+01 2.220318236912209287e+01 1.849183963858752833e+01 1.529772710176202644e+00 1.611382081938582900e+01 -7.375306706579817728e+02 -4.033070990803591371e+02 -3.683823404954115972e+02 -3.679486455208488564e+02 -1.463072054346395756e+00 -1.304981353036600344e+00
3.300000000000000000e+01 1.319850687586642479e+00 1.443005757387626264e+00 -2.750077086121792025e+00 3.756320935368283376e+00 -3.784577883314313453e+02 -3.722138325618538488e+02 -3.688736950731589559e+02 -3.675622747804215464e+02 -5.680977429240328114e-01 -4.365498320036438340e-01
0.000000000000000000e+00 4.588857514648858427e+01 5.366890565471967989e+01 1.861611060600420231e+01 4.548027041525860170e+01 -2.361966027518644296e+03 -9.612697475436452805e+02 -3.742853129670220937e+02 -3.714467331244288175e+02 -2.639163313402076660e+00 -1.703846724744997099e+00
2.050000000000000000e+01 1.066644579404353976e+01 8.872680150402997512e+00 -2.481580799226355827e-01 8.209181839547238013e+00 -4.541636587214502470e+02 -3.823504628118899404e+02 -3.668606574726123313e+02 -3.660645172355896193e+02 -1.238462007165243683e+00 -7.172660324057669179e-01
4.350000000000000000e+01 2.006166288358115946e+00 1.877328108822678754e+00 -2.844875326085264944e-01 1.924598330167902327e-01 -3.737425530444139667e+02 -3.715129677887432535e+02 -3.710444229409332593e+02 -3.724342841455845701e+02 -4.706021293205487899e-01 -3.509080437482043346e-01
2.500000000000000000e+01 1.859857809927296213e+00 3.992156707974398699e+00 -1.925975785958358610e+00 5.330604884278665523e+00 -3.762177648508921948e+02 -3.742323882367581973e+02 -3.677898468787569755e+02 -3.652146145038576606e+02 -8.055338625601236036e-01 -4.578374188510049292e-01
5.500000000000000000e+00 2.032173320147443718e+01 3.226677995375329999e+01 4.674143568460866760e+00 2.983801112127979138e+01 -8.652665998574884725e+02 -5.615091961225190289e+02 -3.708509686710671076e+02 -3.676888796540736735e+02 -1.773115585072596367e+00 -1.592784170471585714e+00
3.650000000000000000e+01 2.647543714932729664e+00 1.573341959583905769e+00 -1.255797284435592687e+00 9.210194379057050629e-01 -3.713756866087804269e+02 -3.686976314517418132e+02 -3.670654671101838176e+02 -3.662581354580689776e+02 -3.928777134145182703e-01 -4.601708197796149369e-01
1.750000000000000000e+01 1.281387570724216829e+01 9.465998196175279489e+00 -6.183227497068077838e-01 9.330809854785115931e+00 -4.870632047387470607e+02 -3.910406152551068999e+02 -3.670993230865297505e+02 -3.662189990031071716e+02 -1.392318861404441277e+00 -9.288172036932189624e-01
2.900000000000000000e+01 1.397583344681547102e+00 3.160278910119823426e+00 -1.853531915370693728e+00 4.539753362028544181e+00 -3.771580967934380624e+02 -3.717928150817437540e+02 -3.687829141568878981e+02 -3.681628695278380974e+02 -3.864283310883528388e-01 -3.261287852438137236e-01
4.600000000000000000e+01 2.849057139379294501e+00 3.032439570597512901e+00 1.191129328978030477e+00 4.354941257762946494e-01 -3.744532218837885580e+02 -3.720945770857760522e+02 -3.717806694246520465e+02 -3.739686160137210891e+02 -4.582164215129429508e-01 -1.377746322091510656e-01
9.500000000000000000e+00 2.361712144158698834e+01 2.005251194216857868e+01 2.835724385931208236e+00 1.914671569457280853e+01 -8.239651026162113112e+02 -4.711098313083145399e+02 -3.719359866237238634e+02 -3.683111534018215139e+02 -1.500903299837717197e+00 -1.455316589649633396e+00
1.900000000000000000e+01 1.192139641453806931e+01 9.119699187142609631e+00 1.599002556589865232e-01 8.716153547550566927e+00 -4.705147562429941104e+02 -3.891310330515593137e+02 -3.668886294144210183e+02 -3.647774725600339139e+02 -1.306888666079814909e+00 -8.401582560330842497e-01
4.450000000000000000e+01 2.312245224851686043e+00 2.427545980955194249e+00 8.255775790456560959e-01 5.311418585016317584e-01 -3.736299799535790385e+02 -3.710674761218876938e+02 -3.707315461054083130e+02 -3.722339575879783524e+02 -4.451292446983707296e-01 -2.482711511854512609e-01
3.800000000000000000e+01 3.375217076101785452e+00 2.502503236770370787e+00 -1.799276023678491321e-01 1.599702328557891073e+00 -3.727649211962524305e+02 -3.685979155916028276e+02 -3.673773448216436464e+02 -3.667405263889745584e+02 -3.976706787521479547e-01 -5.261780902969308560e-01
3.400000000000000000e+01 1.813278116264021911e+00 1.708572548298880278e+00 -1.588786387634854025e+00 2.391746044467133459e+00 -3.730818302366329249e+02 -3.707115584238423480e+02 -3.677038361148510148e+02 -3.672083428571964419e+02 -4.486272003821358823e-01 -4.060505282114249548e-01
4.850000000000000000e+01 2.790533041201472386e+00 3.007208411567112272e+00 1.519356031703312793e+00 5.469294917020076086e-02 -3.773936950619365689e+02 -3.747281458490504065e+02 -3.749792981412357449e+02 -3.755943706586820667e+02 -2.667937711373122300e-01 -1.013033935043786971e-01
7.000000000000000000e+00 1.941545903912873783e+01 2.927385731723389029e+01 3.242156145963771774e+00 2.671858469639741784e+01 -8.374430268539903182e+02 -5.002956276109148916e+02 -3.713491011132120434e+02 -3.665978614536360851e+02 -1.629528696176327784e+00 -1.568077811558834966e+00
2.750000000000000000e+01 1.884649040796549269e+00 4.070777475937545908e+00 -1.191005166270922011e+00 5.087731631522219189e+00 -3.742387143386609409e+02 -3.728000760216471576e+02 -3.688406746749388958e+02 -3.669412344591852957e+02 -5.964813979620636752e-01 -4.240332745816479121e-01
1.500000000000000000e+01 2.262289533649837381e+01 1.413010040752320684e+01 -3.155582217327769223e-01 1.288076938775457236e+01 -6.717964953256212084e+02 -3.933139408538070825e+02 -3.678496194414869933e+02 -3.662944312001952198e+02 -1.409889749931737546e+00 -1.106236861630315094e+00
4.100000000000000000e+01 3.128483021210171078e+00 2.572060477684888991e+00 3.186205196961424679e-01 1.130704547708315078e+00 -3.739767745695886560e+02 -3.704822831911483263e+02 -3.704548719592456223e+02 -3.711824909182942633e+02 -4.159410808235265433e-01 -3.246754648205649740e-01
1.050000000000000000e+01 2.263313887841879435e+01 1.888125424603473945e+01 2.020411983295038016e+00 1.907798253561555413e+01 -7.979737109245502324e+02 -4.270271477737850887e+02 -3.692671576359833239e+02 -3.677498237389346514e+02 -1.452176451860746731e+00 -1.354153702965754880e+00
2.200000000000000000e+01 6.087358801334316283e+00 7.139961564912586489e+00 -1.118695061266992807e+00 6.466916815095006932e+00 -4.023416499702704527e+02 -3.776814109761714917e+02 -3.676442186313398679e+02 -3.653622451684103112e+02 -1.097719006378098605e+00 -5.333034402987565370e-01
2.500000000000000000e+00 2.419950917987789296e+01 3.510749494428311834e+01 1.576315670911437472e+01 4.089224463707266466e+01 -1.362296376402556007e+03 -7.949081596876022786e+02 -3.727775440461777521e+02 -3.680868932347357827e+02 -2.364755797858509645e+00 -1.601413879904199034e+00
3.150000000000000000e+01 1.388757106251776507e+00 1.498991429934968922e+00 -2.419898513924715555e+00 3.903337725213324561e+00 -3.785565571356669352e+02 -3.725650686392000921e+02 -3.701329832596028950e+02 -3.689384660235514843e+02 -2.727201627725455713e-01 -3.822246483099544512e-01
1.800000000000000000e+01 1.225284569204550067e+01 9.366962816067690767e+00 -9.640014296418766282e-01 9.139929909883774073e+00 -4.792696384854209555e+02 -3.890261893398346729e+02 -3.666422328132382518e+02 -3.652906047595248538e+02 -1.430373452612666796e+00 -8.399532022981475166e-01
3.900000000000000000e+01 3.104506574745958591e+00 2.496218069499173353e+00 -2.207736774432783877e-01 1.449627640789356908e+00 -3.721447284230471837e+02 -3.688124780850502589e+02 -3.674882322849624074e+02 -3.670590882902644694e+02 -4.153026960564260017e-01 -4.938828947364851674e-01
4.550000000000000000e+01 2.698785469856313401e+00 2.898464485407628022e+00 1.162300121670703179e+00 4.741094786067711064e-01 -3.730010696249872808e+02 -3.703758438748748745e+02 -3.700842663454054673e+02 -3.716458983671589635e+02 -4.242264326652910866e-01 -2.424127862654130439e-01
6.000000000000000000e+00 1.955033485604307941e+01 3.190912284014863332e+01 4.457740029952130811e+00 2.937158913521439274e+01 -8.516399180339503800e+02 -5.413287325773599150e+02 -3.711452186070400785e+02 -3.670766016593963172e+02 -1.775518991770346444e+00 -1.584012355931079918e+00
4.950000000000000000e+01 2.766057679088205212e+00 3.073515450417512618e+00 1.729957452316662314e+00 -3.831069202752038771e-01 -3.742092561918140063e+02 -3.715750196370186131e+02 -3.721617957997434587e+02 -3.728927024474195377e+02 -1.491060814818718216e-01 -9.921285730508337675e-02
2.650000000000000000e+01 2.112515050787021842e+00 3.943403619529071591e+00 -1.427911690891044527e+00 5.128044794820987740e+00 -3.755321922173838516e+02 -3.740452932407404205e+02 -3.680269024085890237e+02 -3.651933640299209856e+02 -7.801549131382832236e-01 -5.302510514427292154e-01
3.500000000000000000e+01 2.374933060444922805e+00 1.814859132726485358e+00 -1.316192245153096074e+00 1.484980619214558262e+00 -3.726442191308522069e+02 -3.702128188139417375e+02 -3.678272882757246975e+02 -3.671033515114758643e+02 -3.976841412820054100e-01 -4.072806206079896407e-01
1.400000000000000000e+01 2.440895979282922212e+01 1.640615484088664644e+01 3.276393560818305351e-01 1.296434089418514013e+01 -7.179349360497985799e+02 -3.943273820917245871e+02 -3.661640982621501621e+02 -3.665315366850943519e+02 -1.453858580478101903e+00 -1.185803645431716902e+00
4.000000000000000000e+01 2.996937146666806662e+00 2.463211180624643504e+00 -2.626996652875063232e-01 1.282168422410238984e+00 -3.717412975128187327e+02 -3.684497949913342154e+02 -3.673668701859257339e+02 -3.673422768054501830e+02 -4.237329771060269756e-01 -5.564749596127593900e-01
1.150000000000000000e+01 2.176330649032702524e+01 1.848939688519250524e+01 1.535342017976677242e+00 1.761171049300086722e+01 -7.540096545906334313e+02 -4.078124039803686287e+02 -3.682713844469883497e+02 -3.679636221440464396e+02 -1.458866910855334931e+00 -1.319860263233693987e+00
3.050000000000000000e+01 1.544640713332531057e+00 2.045586370130939358e+00 -2.454915201253785817e+00 3.910905948206405025e+00 -3.787668277381112603e+02 -3.728281879858414527e+02 -3.703597985158012307e+02 -3.691047306584850958e+02 -2.909426751209791551e-01 -3.747731058119714853e-01
2.300000000000000000e+01 3.247916330025235609e+00 5.817127567191424653e+00 -1.389390979386160518e+00 6.138344942411351646e+00 -3.840253182132103689e+02 -3.766320068223806175e+02 -3.685537986731424667e+02 -3.649110236078858520e+02 -1.039604771033442177e+00 -6.064683404809844136e-01
3.500000000000000000e+00 2.653283505626208338e+01 3.295505969723929240e+01 1.256565609280291085e+01 3.425270734525896899e+01 -1.212078421312642377e+03 -7.745527291606013023e+02 -3.724385996274577906e+02 -3.683443929667990915e+02 -2.217915219802379934e+00 -1.612420300773988568e+00
2.950000000000000000e+01 1.340157096673215031e+00 2.681656057140088034e+00 -2.306616509121881542e+00 4.363683319118814907e+00 -3.781424734548550646e+02 -3.723796893312241423e+02 -3.696487534305680356e+02 -3.685111601622537592e+02 -3.397738198268598353e-01 -3.577490992129546132e-01
4.650000000000000000e+01 2.789872745667885123e+00 2.945248973526304326e+00 1.252756825101740912e+00 5.300574999573020030e-01 -3.751843662162694955e+02 -3.726128163550936847e+02 -3.723357382084647611e+02 -3.740960388301191983e+02 -4.310489339770166017e-01 -1.226136472742372363e-01
9.000000000000000000e+00 2.337043840390905203e+01 2.134926509182490051e+01 2.982518734689995288e+00 1.956712420461700574e+01 -8.297931018382183765e+02 -4.802674730918239447e+02 -3.720194623709334110e+02 -3.684718117494110743e+02 -1.518945215466361187e+00 -1.475615153941808533e+00
1.700000000000000000e+01 1.432955314726927654e+01 1.009862967917801413e+01 -7.279824239840974043e-01 1.028205490575852288e+01 -5.136555882978344698e+02 -3.911474970639068829e+02 -3.671471575313908033e+02 -3.659312814232536084e+02 -1.399424316253572664e+00 -9.486798748615994370e-01
3.600000000000000000e+01 3.018270916710199980e+00 2.046727170253463957e+00 -5.693760432684813466e-01 9.041291838783562795e-01 -3.724842944225878796e+02 -3.689656147079152220e+02 -3.676969166883852154e+02 -3.672822783135000577e+02 -3.919068361883368268e-01 -3.577245399072730425e-01
2.550000000000000000e+01 2.073671995411255242e+00 3.930152490518024955e+00 -2.074530941173151177e+00 4.923351782040350066e+00 -3.756582094261112275e+02 -3.743143180104498811e+02 -3.684202115296205307e+02 -3.665595251290005763e+02 -8.052240701766042452e-01 -4.092671054065858405e-01
5.000000000000000000e+00 2.224597996818222256e+01 3.264288572629610741e+01 6.671995740249282214e+00 2.983603184972029609e+01 -9.172913605819667282e+02 -6.152614588974981871e+02 -3.721234170282837681e+02 -3.677452790135166651e+02 -1.918222201536738725e+00 -1.601198722861451262e+00
4.300000000000000000e+01 2.435978829306863602e+00 2.166640743422368676e+00 1.629728420999210226e-01 5.648123369649945547e-01 -3.743422221308797475e+02 -3.714196141433565117e+02 -3.710107773665945388e+02 -3.725606790307944607e+02 -4.773826644242975537e-01 -3.540806365692776292e-01
5.000000000000000000e-01 3.384359241936696350e+01 4.973353559220470288e+01 1.727608130524081531e+01 4.488729846707349225e+01 -1.766814574039759464e+03 -9.450312842908488165e+02 -3.741197421680553816e+02 -3.699785891649985388e+02 -2.648656466935906284e+00 -1.696552026956575698e+00
2.000000000000000000e+01 1.126310458560062244e+01 8.881353892079960843e+00 -7.837540921927322879e-01 8.300801280981049857e+00 -4.607224653175173898e+02 -3.823469656968084678e+02 -3.658655983883020326e+02 -3.647496212538334248e+02 -1.275856315602454272e+00 -8.288944573337670985e-01
3.350000000000000000e+01 1.649255964332403623e+00 1.696969697894432416e+00 -1.548447659655517006e+00 2.686750853604705114e+00 -3.728971570073641715e+02 -3.701736165396351339e+02 -3.672729868830405167e+02 -3.667552370574974248e+02 -3.865792177611763747e-01 -3.870518978480021466e-01
1.250000000000000000e+01 2.322093309325496691e+01 1.855072880236460975e+01 2.384459262873502183e+00 1.402626003544833111e+01 -7.233920625199953065e+02 -4.033189823838955590e+02 -3.678219697450032299e+02 -3.654871999535484406e+02 -1.449817183999827952e+00 -1.338720599074246120e+00
2.850000000000000000e+01 1.304835458732609865e+00 3.572873224219430544e+00 -1.944069744436967007e+00 5.007221787280220937e+00 -3.731517914435678449e+02 -3.691819380280059022e+02 -3.664347399212743426e+02 -3.662622768875315842e+02 -4.718220248477722478e-01 -3.456036819231177448e-01
8.000000000000000000e+00 2.126591871502083819e+01 2.507357723978327968e+01 2.742164202230279457e+00 2.261127709918651973e+01 -8.342650956764269949e+02 -4.799327173983241437e+02 -3.715199773363638087e+02 -3.682799354245104269e+02 -1.530488605495934795e+00 -1.523867719789260500e+00
4.750000000000000000e+01 2.866520710365869640e+00 3.009928758568606977e+00 1.258938423584433419e+00 2.314396615338168983e-01 -3.748667359392015328e+02 -3.722113253294025981e+02 -3.722160313427278311e+02 -3.739991413546137551e+02 -4.106311684992992594e-01 -1.353247991378500603e-01
1.600000000000000000e+01 1.835014369725752914e+01 1.157358239665339639e+01 -7.168087593626832899e-01 1.177767886458133972e+01 -5.841820098859494692e+02 -3.917513088049649355e+02 -3.678453105109852004e+02 -3.664888008031433060e+02 -1.372944333787539328e+00 -1.081818713797881637e+00
2.450000000000000000e+01 1.614318402504471450e+00 4.117605234497947464e+00 -1.786437552702040854e+00 5.716307234420495931e+00 -3.762320607511684329e+02 -3.737523998029415111e+02 -3.674043277947081378e+02 -3.648200444234809083e+02 -8.196015938475154083e-01 -5.016466842759704781e-01
4.000000000000000000e+00 2.588348861307735760e+01 3.265258187308151605e+01 1.095116589294668863e+01 3.192704819367112989e+01 -1.109625075650349345e+03 -7.474651660838040925e+02 -3.723118839224990211e+02 -3.671436219613824505e+02 -2.188664538802828297e+00 -1.662553125711295765e+00
3.700000000000000000e+01 2.748631797216868566e+00 1.664109243448569142e+00 -1.015191134223503377e+00 9.899555530753453292e-01 -3.713837477581132589e+02 -3.686634340529489577e+02 -3.674388198565302446e+02 -3.670532596729106558e+02 -4.009340595366741589e-01 -5.815794427671732159e-01
4.200000000000000000e+01 3.278986219420870096e+00 2.791557813768115182e+00 1.044609444349466010e+00 1.368599535681152890e+00 -3.772002430142311482e+02 -3.713924668853212552e+02 -3.709882211080471848e+02 -3.717147287992825113e+02 -4.474555656882077681e-01 -3.356345236458639913e-01
3.250000000000000000e+01 1.314018502673878652e+00 1.440140926032783319e+00 -2.706041978075732324e+00 3.907522370411346202e+00 -3.789576989997092937e+02 -3.722967235704268205e+02 -3.691542194018849159e+02 -3.684269737001939689e+02 -4.829089320919532358e-01 -3.990527634950797320e-01
1.500000000000000000e+00 2.263574217589243531e+01 4.140683217987616160e+01 1.672002677032556761e+01 4.438809312162189968e+01 -1.381333652652852379e+03 -8.303028573668527770e+02 -3.721330943400113824e+02 -3.685126425337813885e+02 -2.523417906717559500e+00 -1.643291058491925138e+00
2.100000000000000000e+01 9.276313726486169031e+00 8.326085599200803600e+00 -7.366135812132204030e-01 7.465709086639466641e+00 -4.356927179613848011e+02 -3.793692865974715005e+02 -3.669148854347471911e+02 -3.660682023294215242e+02 -1.187957929450188521e+00 -6.712739653549455454e-01
1.350000000000000000e+01 2.414381139707712265e+01 1.713068196027031576e+01 3.528416445546445068e-01 1.321259908356803869e+01 -7.227998136837350103e+02 -3.952306278585309087e+02 -3.660979356595910303e+02 -3.654185428806703158e+02 -1.466371105884185955e+00 -1.279071625236869458e+00
