# start_time, SNRtot_MF, SNR220_MF, SNR221_MF, evidence220_221, evidence220, evidence221, nofilter
4.200000000000000000e+01 6.429885272940629726e+00 6.428568272170202214e+00 -5.569770945805955220e-01 -3.944210642876789734e+02 -3.974352348790103520e+02 -4.000342287979575531e+02 -4.145188173485917673e+02
9.300000000000000000e+01 -8.201225656320955126e-01 -8.201225325059913196e-01 -1.137184492303622285e+00 -3.978417462290363460e+02 -3.991378613473944483e+02 -3.998462299147071235e+02 -4.001131407362222490e+02
3.900000000000000000e+01 6.802180725342374501e+00 6.800399545484192565e+00 8.267372487943157600e-01 -3.928402861714482697e+02 -3.946846050520289850e+02 -3.966527159057131371e+02 -4.153875214953095565e+02
4.500000000000000000e+01 4.926643047933280783e+00 4.926520909070362109e+00 -4.384819584419329952e-01 -3.914385871301670932e+02 -3.930752374923911248e+02 -3.936473497871724589e+02 -4.026394253044433640e+02
9.400000000000000000e+01 -4.149855064297415796e-01 -4.149854709803121877e-01 -9.559633772037864352e-01 -3.983824908591938652e+02 -3.991868876597794156e+02 -4.003668164392843209e+02 -4.004808268447563933e+02
3.700000000000000000e+01 7.767825959964351767e+00 7.763027249528898999e+00 2.671540001501931383e-01 -3.946046467823109083e+02 -3.953435366320024400e+02 -3.986030744267081900e+02 -4.219112056198959522e+02
1.000000000000000000e+00 2.702369016109261679e+02 1.869444267737580390e+02 9.449835632720058243e+01 -3.900341054964451928e+02 -7.042943805887261988e+02 -5.713687869482299675e+02 -3.689809460630913964e+04
6.000000000000000000e+00 1.726003556133684640e+02 1.414611237888967139e+02 3.458130220375731056e+01 -3.907683406172703258e+02 -4.089304328909100263e+02 -4.365404388482563149e+02 -1.528052210719965660e+04
3.000000000000000000e+01 1.373355838031147691e+01 1.370273724213043032e+01 8.452235663948874933e-01 -3.903375515700275855e+02 -3.899836932796753786e+02 -3.946506769038187485e+02 -4.819125361465765423e+02
2.100000000000000000e+01 3.937539091657213675e+01 3.880290050711825245e+01 1.692457131672256310e+00 -3.852660178825985327e+02 -3.885585495800538069e+02 -4.017331688817411646e+02 -1.158301983061667670e+03
2.600000000000000000e+01 2.504203259529540304e+01 2.493853598871840660e+01 1.808562973700136745e+00 -3.870315376647595826e+02 -3.893007606571629822e+02 -3.935593758617903291e+02 -6.992401661388612411e+02
