# start_time, SNRtot_MF, SNR220_MF, SNR221_MF, evidence220_221, evidence220, evidence221, nofilter
1.400000000000000000e+01 8.065277492777205737e+00 7.604840050821228381e+00 3.669302815849799781e-01 -3.810729023204278292e+02 -3.816131723278389813e+02 -3.830601781044558720e+02 -4.109642620115375280e+02
3.500000000000000000e+01 1.098487325544021953e+00 1.097186366878435404e+00 -2.401946297356786775e-01 -3.875201754359188158e+02 -3.869410507762095222e+02 -3.870697600451233029e+02 -3.863781175968580328e+02
3.000000000000000000e+00 2.451705772603453326e+01 1.932707445198118990e+01 6.094434607113123015e+00 -3.746979302125519098e+02 -3.784030899776960837e+02 -3.782037197624460418e+02 -6.718323270585640330e+02
4.950000000000000000e+01 2.731159899891714149e-01 2.731148822839999935e-01 -3.235363856238456792e-01 -3.904645625013710060e+02 -3.902522034971080984e+02 -3.895080039288775424e+02 -3.885418770377813189e+02
2.650000000000000000e+01 1.881639330867217907e+00 1.868976835048987262e+00 -9.377932837614391115e-01 -3.831462815467436371e+02 -3.824316090784359972e+02 -3.829117936021669948e+02 -3.831554294532207336e+02
4.550000000000000000e+01 7.624470838080419366e-01 7.624407050966698352e-01 -1.324485272235042047e-02 -3.897936645997613141e+02 -3.899786741700032735e+02 -3.897127528915397079e+02 -3.913119780830717218e+02
3.900000000000000000e+01 5.578240716646044595e-01 5.575190742917933706e-01 1.392968936556767956e-01 -3.857906978703150571e+02 -3.859978249528421088e+02 -3.862059733353829643e+02 -3.852619610670893735e+02
1.800000000000000000e+01 4.777357084033080348e+00 4.671680002655254960e+00 -4.642697461174863371e-02 -3.799495359537897343e+02 -3.819594596064076200e+02 -3.812226266250304434e+02 -3.932311445486652133e+02
2.300000000000000000e+01 2.765910668429057750e+00 2.738185030463125447e+00 -2.464772597003599686e-01 -3.826993338653273327e+02 -3.836710254678308729e+02 -3.827548638006375086e+02 -3.862598936244775132e+02
6.500000000000000000e+00 1.874783601837916436e+01 1.546549657945094403e+01 3.288912306565939137e+00 -3.757962642185063373e+02 -3.780034297069674949e+02 -3.790458223410335563e+02 -5.478827878627939754e+02
3.050000000000000000e+01 1.163919874003284782e+00 1.162037727008312649e+00 -4.101822194807315247e-01 -3.841694153818265249e+02 -3.827970520035507320e+02 -3.832869071684794449e+02 -3.826335311856286125e+02
1.150000000000000000e+01 1.041424217600866164e+01 9.695651041654695490e+00 5.866884005080557074e-01 -3.789808205283597431e+02 -3.807154301670833547e+02 -3.818304584489964668e+02 -4.313448034143029304e+02
4.000000000000000000e+01 4.902353825381314256e-01 4.899606882847578615e-01 -6.140408527919184734e-02 -3.853754855224355538e+02 -3.859541794633921086e+02 -3.859675557780799409e+02 -3.856493112343620169e+02
1.500000000000000000e+01 6.158055726300828425e+00 5.872246617211529518e+00 -3.850772090061141961e-01 -3.805858368718114093e+02 -3.809969003283902111e+02 -3.830649965947977194e+02 -3.970493138674739271e+02
